瘤痢,瘤痢疙,老矫,乞闭 10cm 瘤吝柯档(∑C)
184,力林,2023-08-13,31.7
184,力林,2023-08-14,31.7
184,力林,2023-08-15,32.1
184,力林,2023-08-16,32.4
184,力林,2023-08-17,31.8
184,力林,2023-08-18,31.2
184,力林,2023-08-19,32
184,力林,2023-08-20,32.1
184,力林,2023-08-21,32.3
184,力林,2023-08-22,32
184,力林,2023-08-23,30.1
184,力林,2023-08-24,29
184,力林,2023-08-25,29.7
184,力林,2023-08-26,30.3
184,力林,2023-08-27,30.7
184,力林,2023-08-28,31.1
184,力林,2023-08-29,31.1
184,力林,2023-08-30,29.3
184,力林,2023-08-31,29
184,力林,2023-09-01,29
184,力林,2023-09-02,29.8
184,力林,2023-09-03,30.7
184,力林,2023-09-04,30.9
184,力林,2023-09-05,31
184,力林,2023-09-06,30.8
184,力林,2023-09-07,30.8
184,力林,2023-09-08,30.4
184,力林,2023-09-09,30
184,力林,2023-09-10,29.6
184,力林,2023-09-11,29.6
184,力林,2023-09-12,29.7
184,力林,2023-09-13,29.8
184,力林,2023-09-14,29.1
184,力林,2023-09-15,29.3
184,力林,2023-09-16,29.2
184,力林,2023-09-17,28.6
184,力林,2023-09-18,28.7
184,力林,2023-09-19,28.6
184,力林,2023-09-20,28.4
184,力林,2023-09-21,27.9
184,力林,2023-09-22,27.3
184,力林,2023-09-23,27.4
184,力林,2023-09-24,27
184,力林,2023-09-25,27.4
184,力林,2023-09-26,28
184,力林,2023-09-27,28.5
184,力林,2023-09-28,28.7
184,力林,2023-09-29,28.4
184,力林,2023-09-30,26.9
184,力林,2023-10-01,26.3
184,力林,2023-10-02,25.9
184,力林,2023-10-03,25.2
184,力林,2023-10-04,25.4
184,力林,2023-10-05,25.6
184,力林,2023-10-06,24.5
184,力林,2023-10-07,23.8
184,力林,2023-10-08,23.1
184,力林,2023-10-09,23.2
184,力林,2023-10-10,23.6
184,力林,2023-10-11,23.5
184,力林,2023-10-12,23.1
184,力林,2023-10-13,23.2
184,力林,2023-10-14,23.4
184,力林,2023-10-15,22.6
184,力林,2023-10-16,22
184,力林,2023-10-17,21.9
184,力林,2023-10-18,21.8
184,力林,2023-10-19,22.3
184,力林,2023-10-20,21.9
184,力林,2023-10-21,20.7
184,力林,2023-10-22,20.7
184,力林,2023-10-23,20.7
184,力林,2023-10-24,20.5
184,力林,2023-10-25,21
184,力林,2023-10-26,21.2
184,力林,2023-10-27,21.5
184,力林,2023-10-28,20.8
184,力林,2023-10-29,20.7
184,力林,2023-10-30,20.6
184,力林,2023-10-31,20.3
184,力林,2023-11-01,20.1
184,力林,2023-11-02,20.3
184,力林,2023-11-03,20.7
184,力林,2023-11-04,21.7
184,力林,2023-11-05,22.1
184,力林,2023-11-06,21.4
184,力林,2023-11-07,18.9
184,力林,2023-11-08,18.5
184,力林,2023-11-09,18.9
184,力林,2023-11-10,18.6
184,力林,2023-11-11,16.3
184,力林,2023-11-12,15.4
184,力林,2023-11-13,14.2
184,力林,2023-11-14,13.8
184,力林,2023-11-15,14.7
184,力林,2023-11-16,14.1
184,力林,2023-11-17,12.9
184,力林,2023-11-18,11.4
184,力林,2023-11-19,12.6
184,力林,2023-11-20,13.9
184,力林,2023-11-21,13.4
184,力林,2023-11-22,14.1
184,力林,2023-11-23,15.5
184,力林,2023-11-24,14.1
184,力林,2023-11-25,12.2
184,力林,2023-11-26,11.9
184,力林,2023-11-27,12.4
184,力林,2023-11-28,12.8
184,力林,2023-11-29,12.4
184,力林,2023-11-30,11.7
184,力林,2023-12-01,10.3
184,力林,2023-12-02,10.2
184,力林,2023-12-03,11
184,力林,2023-12-04,10.7
184,力林,2023-12-05,11.4
184,力林,2023-12-06,11.9
184,力林,2023-12-07,12.4
184,力林,2023-12-08,12.1
184,力林,2023-12-09,13
184,力林,2023-12-10,14.1
184,力林,2023-12-11,15.6
184,力林,2023-12-12,14.7
184,力林,2023-12-13,14.2
184,力林,2023-12-14,14.8
184,力林,2023-12-15,15.5
184,力林,2023-12-16,12.5
184,力林,2023-12-17,9
184,力林,2023-12-18,8.3
184,力林,2023-12-19,8.5
184,力林,2023-12-20,8.2
184,力林,2023-12-21,6.7
184,力林,2023-12-22,6.1
184,力林,2023-12-23,5.7
184,力林,2023-12-24,5.7
184,力林,2023-12-25,6.3
184,力林,2023-12-26,7.1
184,力林,2023-12-27,8.5
184,力林,2023-12-28,9.3
184,力林,2023-12-29,9.9
184,力林,2023-12-30,9.7
184,力林,2023-12-31,10.6
184,力林,2024-01-01,9.8
184,力林,2024-01-02,10.3
184,力林,2024-01-03,10.1
184,力林,2024-01-04,9.4
184,力林,2024-01-05,9.2
184,力林,2024-01-06,10.4
184,力林,2024-01-07,9.2
184,力林,2024-01-08,8.4
184,力林,2024-01-09,8.1
184,力林,2024-01-10,9
184,力林,2024-01-11,8.4
184,力林,2024-01-12,9.2
184,力林,2024-01-13,8.7
184,力林,2024-01-14,8.7
184,力林,2024-01-15,9.5
184,力林,2024-01-16,8.4
184,力林,2024-01-17,9.9
184,力林,2024-01-18,11.6
184,力林,2024-01-19,11.4
184,力林,2024-01-20,11.4
184,力林,2024-01-21,10.9
184,力林,2024-01-22,8.3
184,力林,2024-01-23,6.2
184,力林,2024-01-24,5.5
184,力林,2024-01-25,5.5
184,力林,2024-01-26,6.1
184,力林,2024-01-27,6.9
184,力林,2024-01-28,7.4
184,力林,2024-01-29,7.2
184,力林,2024-01-30,7.2
184,力林,2024-01-31,9.5
184,力林,2024-02-01,10.5
184,力林,2024-02-02,9.9
184,力林,2024-02-03,9.8
184,力林,2024-02-04,10.3
184,力林,2024-02-05,10.7
184,力林,2024-02-06,9.5
184,力林,2024-02-07,8.6
184,力林,2024-02-08,8
184,力林,2024-02-09,7.9
184,力林,2024-02-10,7.9
184,力林,2024-02-11,8.1
184,力林,2024-02-12,8.6
184,力林,2024-02-13,9.6
184,力林,2024-02-14,11.5
184,力林,2024-02-15,11
184,力林,2024-02-16,9.2
184,力林,2024-02-17,9.4
184,力林,2024-02-18,10.7
184,力林,2024-02-19,13.6
184,力林,2024-02-20,12.4
184,力林,2024-02-21,12.5
184,力林,2024-02-22,11.9
184,力林,2024-02-23,10.5
184,力林,2024-02-24,9.9
184,力林,2024-02-25,9.8
184,力林,2024-02-26,10.4
184,力林,2024-02-27,11
184,力林,2024-02-28,10.7
184,力林,2024-02-29,10.5
184,力林,2024-03-01,8.6
184,力林,2024-03-02,8.3
184,力林,2024-03-03,9.1
184,力林,2024-03-04,9.6
184,力林,2024-03-05,10.6
184,力林,2024-03-06,10.8
184,力林,2024-03-07,10.9
184,力林,2024-03-08,10.4
184,力林,2024-03-09,10.6
184,力林,2024-03-10,10.5
184,力林,2024-03-11,10.3
184,力林,2024-03-12,10.9
184,力林,2024-03-13,11.1
184,力林,2024-03-14,12
184,力林,2024-03-15,12.4
184,力林,2024-03-16,13.1
184,力林,2024-03-17,13.9
184,力林,2024-03-18,12.9
184,力林,2024-03-19,14.1
184,力林,2024-03-20,12.5
184,力林,2024-03-21,12.4
184,力林,2024-03-22,13
184,力林,2024-03-23,15.9
184,力林,2024-03-24,15.9
184,力林,2024-03-25,15.1
184,力林,2024-03-26,14.2
184,力林,2024-03-27,14.2
184,力林,2024-03-28,14.6
184,力林,2024-03-29,15
184,力林,2024-03-30,16.5
184,力林,2024-03-31,16.4
184,力林,2024-04-01,16.4
184,力林,2024-04-02,16.1
184,力林,2024-04-03,16.7
184,力林,2024-04-04,16.3
184,力林,2024-04-05,16.9
184,力林,2024-04-06,16.4
184,力林,2024-04-07,16.4
184,力林,2024-04-08,16.8
184,力林,2024-04-09,16.9
184,力林,2024-04-10,17.4
184,力林,2024-04-11,17.1
184,力林,2024-04-12,17.5
184,力林,2024-04-13,19.2
184,力林,2024-04-14,19
184,力林,2024-04-15,19.3
184,力林,2024-04-16,19.2
184,力林,2024-04-17,18.1
184,力林,2024-04-18,18.6
184,力林,2024-04-19,19.3
184,力林,2024-04-20,19
184,力林,2024-04-21,18.1
184,力林,2024-04-22,18.2
184,力林,2024-04-23,17.7
184,力林,2024-04-24,18.7
184,力林,2024-04-25,19.3
184,力林,2024-04-26,19.5
184,力林,2024-04-27,20.8
184,力林,2024-04-28,21
184,力林,2024-04-29,20.8
184,力林,2024-04-30,20.6
184,力林,2024-05-01,19.5
184,力林,2024-05-02,19.4
184,力林,2024-05-03,20.6
184,力林,2024-05-04,20.5
184,力林,2024-05-05,21.1
184,力林,2024-05-06,21.2
184,力林,2024-05-07,21.4
184,力林,2024-05-08,20
184,力林,2024-05-09,20.2
184,力林,2024-05-10,21.1
184,力林,2024-05-11,21
184,力林,2024-05-12,20.8
184,力林,2024-05-13,20.6
184,力林,2024-05-14,21.6
184,力林,2024-05-15,21.4
184,力林,2024-05-16,21
184,力林,2024-05-17,21.8
184,力林,2024-05-18,23.1
184,力林,2024-05-19,23.7
184,力林,2024-05-20,23.9
184,力林,2024-05-21,24
184,力林,2024-05-22,23.8
184,力林,2024-05-23,24.6
184,力林,2024-05-24,25
184,力林,2024-05-25,25.3
184,力林,2024-05-26,24.8
184,力林,2024-05-27,24.9
184,力林,2024-05-28,24.6
184,力林,2024-05-29,24.8
184,力林,2024-05-30,24.6
184,力林,2024-05-31,24.2
184,力林,2024-06-01,24.1
184,力林,2024-06-02,24.1
184,力林,2024-06-03,24.2
184,力林,2024-06-04,24.8
184,力林,2024-06-05,24.5
184,力林,2024-06-06,23.6
184,力林,2024-06-07,23.9
184,力林,2024-06-08,24.3
184,力林,2024-06-09,24.5
184,力林,2024-06-10,25.2
184,力林,2024-06-11,25.6
184,力林,2024-06-12,25.4
184,力林,2024-06-13,26.6
184,力林,2024-06-14,27.5
184,力林,2024-06-15,28.3
184,力林,2024-06-16,28.8
184,力林,2024-06-17,26.8
184,力林,2024-06-18,26.7
184,力林,2024-06-19,27.3
184,力林,2024-06-20,25.2
184,力林,2024-06-21,25.9
184,力林,2024-06-22,26.6
184,力林,2024-06-23,26.5
184,力林,2024-06-24,27.2
184,力林,2024-06-25,26.5
184,力林,2024-06-26,25.7
184,力林,2024-06-27,25.1
184,力林,2024-06-28,25.6
184,力林,2024-06-29,25.8
184,力林,2024-06-30,26.2
184,力林,2024-07-01,27
184,力林,2024-07-02,27.9
184,力林,2024-07-03,29
184,力林,2024-07-04,30.1
184,力林,2024-07-05,30.5
184,力林,2024-07-06,30.1
184,力林,2024-07-07,29.9
184,力林,2024-07-08,30.2
184,力林,2024-07-09,30.5
184,力林,2024-07-10,29
184,力林,2024-07-11,27.6
184,力林,2024-07-12,28
184,力林,2024-07-13,27.7
184,力林,2024-07-14,27.8
184,力林,2024-07-15,28
184,力林,2024-07-16,28.9
184,力林,2024-07-17,30.1
184,力林,2024-07-18,30.3
184,力林,2024-07-19,29.7
184,力林,2024-07-20,30.8
184,力林,2024-07-21,31.1
184,力林,2024-07-22,31.7
184,力林,2024-07-23,32.3
184,力林,2024-07-24,32.8
184,力林,2024-07-25,32.3
184,力林,2024-07-26,30.6
184,力林,2024-07-27,30.6
184,力林,2024-07-28,31.8
184,力林,2024-07-29,32.2
184,力林,2024-07-30,32.4
184,力林,2024-07-31,32.8
184,力林,2024-08-01,33.5
184,力林,2024-08-02,33.9
184,力林,2024-08-03,34.2
184,力林,2024-08-04,34.4
184,力林,2024-08-05,34.2
184,力林,2024-08-06,33.8
184,力林,2024-08-07,34.1
184,力林,2024-08-08,34.5
184,力林,2024-08-09,34.8
184,力林,2024-08-10,34.8
184,力林,2024-08-11,34.7
184,力林,2024-08-12,34.7
184,力林,2024-08-13,34.4
184,力林,2024-08-14,32.9
184,力林,2024-08-16,31.4
184,力林,2024-08-17,31.8
184,力林,2024-08-18,32.4
184,力林,2024-08-19,32.7
184,力林,2024-08-20,32.2
184,力林,2024-08-21,32.3
184,力林,2024-08-22,32.2
184,力林,2024-08-23,32.4
184,力林,2024-08-24,32.5
184,力林,2024-08-25,32.7
184,力林,2024-08-26,32.8
184,力林,2024-08-27,32.5
184,力林,2024-08-28,31.6
184,力林,2024-08-29,31.5
184,力林,2024-08-30,32.1
184,力林,2024-08-31,32.2
184,力林,2024-09-01,32
184,力林,2024-09-02,32.2
184,力林,2024-09-03,31.8
184,力林,2024-09-04,31.2
184,力林,2024-09-05,31.5
184,力林,2024-09-06,31.1
184,力林,2024-09-07,31.4
184,力林,2024-09-08,31
184,力林,2024-09-09,30.9
184,力林,2024-09-10,31.1
184,力林,2024-09-11,31
184,力林,2024-09-12,31.3
184,力林,2024-09-13,31.4
184,力林,2024-09-14,31.4
184,力林,2024-09-15,31.4
184,力林,2024-09-16,30.7
184,力林,2024-09-17,30.2
184,力林,2024-09-18,30.7
184,力林,2024-09-19,30.5
184,力林,2024-09-20,29.6
184,力林,2024-09-21,29.4
184,力林,2024-09-22,27.8
184,力林,2024-09-23,27.2
184,力林,2024-09-24,26.6
184,力林,2024-09-25,26.9
184,力林,2024-09-26,27.5
184,力林,2024-09-27,27.9
184,力林,2024-09-28,27.4
184,力林,2024-09-29,27.1
184,力林,2024-09-30,26.9
184,力林,2024-10-01,26.7
184,力林,2024-10-02,24.9
184,力林,2024-10-03,23.3
184,力林,2024-10-04,23.4
184,力林,2024-10-05,23.9
184,力林,2024-10-06,24.3
184,力林,2024-10-07,23.2
184,力林,2024-10-08,23.3
184,力林,2024-10-09,22.7
184,力林,2024-10-10,23.1
184,力林,2024-10-11,22.9
184,力林,2024-10-12,22.8
184,力林,2024-10-13,23.2
184,力林,2024-10-14,23.6
184,力林,2024-10-15,24.5
184,力林,2024-10-16,24.7
184,力林,2024-10-17,24.4
184,力林,2024-10-18,25.2
184,力林,2024-10-19,25
184,力林,2024-10-20,22.6
184,力林,2024-10-21,22.5
184,力林,2024-10-22,23.2
184,力林,2024-10-23,22.1
184,力林,2024-10-24,20.8
184,力林,2024-10-25,21.1
184,力林,2024-10-26,22.2
184,力林,2024-10-27,22
184,力林,2024-10-28,20.9
184,力林,2024-10-29,21.1
184,力林,2024-10-30,21.4
184,力林,2024-10-31,21
184,力林,2024-11-01,19.7
184,力林,2024-11-02,19.5
184,力林,2024-11-03,19.4
184,力林,2024-11-04,18.9
184,力林,2024-11-05,16.8
184,力林,2024-11-06,15.5
184,力林,2024-11-20,15.8
184,力林,2024-11-21,15.8
184,力林,2024-11-22,15.5
184,力林,2024-11-23,14.4
184,力林,2024-11-24,13.9
184,力林,2024-11-25,14.4
184,力林,2024-11-26,14.8
184,力林,2024-11-27,12.6
184,力林,2024-11-28,11.5
184,力林,2024-11-29,11.1
184,力林,2024-11-30,12.2
184,力林,2024-12-01,12.2
184,力林,2024-12-02,13
184,力林,2024-12-03,13
184,力林,2024-12-04,11.1
184,力林,2024-12-05,11.4
184,力林,2024-12-06,11.4
184,力林,2024-12-07,11.2
184,力林,2024-12-08,10
184,力林,2024-12-09,9.8
184,力林,2024-12-10,10.4
184,力林,2024-12-11,10.4
184,力林,2024-12-12,10.6
184,力林,2024-12-13,9.9
184,力林,2024-12-14,8.9
184,力林,2024-12-15,8.6
184,力林,2024-12-16,9.1
184,力林,2024-12-17,9.5
184,力林,2024-12-18,8.9
184,力林,2024-12-19,8.2
184,力林,2024-12-20,8.1
184,力林,2024-12-21,8.3
184,力林,2024-12-22,7.2
184,力林,2024-12-23,7.4
184,力林,2024-12-24,8.5
184,力林,2024-12-25,8.9
184,力林,2024-12-26,9.6
184,力林,2024-12-27,8.5
184,力林,2024-12-28,7.6
184,力林,2024-12-29,7.9
184,力林,2024-12-30,8.5
184,力林,2024-12-31,9.1
184,力林,2025-01-01,8.8
184,力林,2025-01-02,8.9
184,力林,2025-01-03,8.3
184,力林,2025-01-04,8.3
184,力林,2025-01-05,8
184,力林,2025-01-06,8.5
184,力林,2025-01-07,7.3
184,力林,2025-01-08,7
184,力林,2025-01-09,6.1
184,力林,2025-01-10,5
184,力林,2025-01-11,5.3
184,力林,2025-01-12,5.6
184,力林,2025-01-13,6.5
184,力林,2025-01-14,7.3
184,力林,2025-01-15,7.2
184,力林,2025-01-16,6.2
184,力林,2025-01-17,6.8
184,力林,2025-01-18,6.2
184,力林,2025-01-19,7.1
184,力林,2025-01-20,8.1
184,力林,2025-01-21,8.3
184,力林,2025-01-22,7.7
184,力林,2025-01-23,8.3
184,力林,2025-01-24,8.6
184,力林,2025-01-25,8.9
184,力林,2025-01-26,8.5
184,力林,2025-01-27,7.4
184,力林,2025-01-28,5.7
184,力林,2025-01-29,5.3
184,力林,2025-01-30,5.6
184,力林,2025-01-31,6.6
184,力林,2025-02-01,8.2
184,力林,2025-02-02,9
184,力林,2025-02-03,7.8
184,力林,2025-02-04,5.2
184,力林,2025-02-05,4.4
184,力林,2025-02-06,4.4
184,力林,2025-02-07,4.3
184,力林,2025-02-08,3.4
184,力林,2025-02-09,3.4
184,力林,2025-02-10,4.2
184,力林,2025-02-11,4.9
184,力林,2025-02-12,7.4
184,力林,2025-02-13,6.9
184,力林,2025-02-14,6.6
184,力林,2025-02-15,7.3
184,力林,2025-02-16,8.3
184,力林,2025-02-17,8.3
184,力林,2025-02-18,7.3
184,力林,2025-02-19,7
184,力林,2025-02-20,6.7
184,力林,2025-02-21,6.7
184,力林,2025-02-22,6.1
184,力林,2025-02-23,5.4
184,力林,2025-02-24,5.1
184,力林,2025-02-25,5.3
184,力林,2025-02-26,7.5
184,力林,2025-02-27,7.4
184,力林,2025-02-28,9.6
184,力林,2025-03-01,11.3
184,力林,2025-03-02,13.6
184,力林,2025-03-03,12.2
184,力林,2025-03-04,9.6
184,力林,2025-03-05,9.2
184,力林,2025-03-06,9.9
184,力林,2025-03-07,9.9
184,力林,2025-03-08,10.3
184,力林,2025-03-09,10.4
184,力林,2025-03-10,10
184,力林,2025-03-11,11.8
184,力林,2025-03-12,11.7
184,力林,2025-03-13,12
184,力林,2025-03-14,12.5
184,力林,2025-03-15,11.4
184,力林,2025-03-16,9.5
184,力林,2025-03-17,8.2
184,力林,2025-03-18,8
184,力林,2025-03-19,8.1
184,力林,2025-03-20,9.5
184,力林,2025-03-21,12
184,力林,2025-03-22,13.9
184,力林,2025-03-23,15.5
184,力林,2025-03-24,16.8
184,力林,2025-03-25,17.7
184,力林,2025-03-26,18.1
184,力林,2025-03-27,18
184,力林,2025-03-28,14.2
184,力林,2025-03-29,12.4
184,力林,2025-03-30,11.5
184,力林,2025-03-31,12.3
184,力林,2025-04-01,13.4
184,力林,2025-04-02,14.1
184,力林,2025-04-03,14.4
184,力林,2025-04-04,13.6
184,力林,2025-04-05,14
184,力林,2025-04-06,14.7
184,力林,2025-04-07,15.4
184,力林,2025-04-08,17
184,力林,2025-04-09,17
184,力林,2025-04-10,17.9
184,力林,2025-04-11,17.6
184,力林,2025-04-12,17
184,力林,2025-04-13,14.5
184,力林,2025-04-14,14.3
184,力林,2025-04-15,14.9
184,力林,2025-04-16,16.2
184,力林,2025-04-17,19.1
184,力林,2025-04-18,21.2
184,力林,2025-04-19,22
184,力林,2025-04-20,21.5
184,力林,2025-04-21,22.4
184,力林,2025-04-22,22.1
184,力林,2025-04-23,20.5
184,力林,2025-04-24,20.4
184,力林,2025-04-25,19.8
184,力林,2025-04-26,19.3
184,力林,2025-04-27,19.7
184,力林,2025-04-28,20.3
184,力林,2025-04-29,19.7
184,力林,2025-04-30,20.4
184,力林,2025-05-01,19.1
184,力林,2025-05-02,18.9
184,力林,2025-05-03,18.8
184,力林,2025-05-04,18.9
184,力林,2025-05-05,17.8
184,力林,2025-05-06,17.2
184,力林,2025-05-07,17.7
184,力林,2025-05-08,19.3
184,力林,2025-05-09,19.4
184,力林,2025-05-10,18.5
184,力林,2025-05-11,18.6
184,力林,2025-05-12,19.6
184,力林,2025-05-13,20.4
184,力林,2025-05-14,21
184,力林,2025-05-15,21.6
184,力林,2025-05-16,21.5
184,力林,2025-05-17,22.1
184,力林,2025-05-18,22.3
184,力林,2025-05-19,22
184,力林,2025-05-20,23.7
184,力林,2025-05-21,23.2
184,力林,2025-05-22,23.4
184,力林,2025-05-23,22.1
184,力林,2025-05-24,20.2
184,力林,2025-05-25,21.2
184,力林,2025-05-26,22.1
184,力林,2025-05-27,22.3
184,力林,2025-05-28,22.7
184,力林,2025-05-29,23.4
184,力林,2025-05-30,23.7
184,力林,2025-05-31,23.6
184,力林,2025-06-01,24.3
184,力林,2025-06-02,23.4
184,力林,2025-06-03,23.3
184,力林,2025-06-04,23.1
184,力林,2025-06-05,23.6
184,力林,2025-06-06,24
184,力林,2025-06-07,23.8
184,力林,2025-06-08,23.6
184,力林,2025-06-09,23.6
184,力林,2025-06-10,23.4
184,力林,2025-06-11,24.3
184,力林,2025-06-12,24.1
