瘤痢,瘤痢疙,老矫,1.5m 瘤吝柯档(∑C)
184,力林,2023-04-14,14
184,力林,2023-04-15,14.2
184,力林,2023-04-16,14.2
184,力林,2023-04-17,14.3
184,力林,2023-04-18,14.4
184,力林,2023-04-19,14.6
184,力林,2023-04-20,14.7
184,力林,2023-04-21,14.8
184,力林,2023-04-22,15
184,力林,2023-04-23,15.1
184,力林,2023-04-24,15.2
184,力林,2023-04-25,15.4
184,力林,2023-04-26,15.5
184,力林,2023-04-27,15.6
184,力林,2023-04-28,15.5
184,力林,2023-04-29,15.6
184,力林,2023-04-30,15.6
184,力林,2023-05-01,15.6
184,力林,2023-05-02,15.6
184,力林,2023-05-03,15.7
184,力林,2023-05-04,16.3
184,力林,2023-05-05,16.5
184,力林,2023-05-06,16.5
184,力林,2023-05-07,16.5
184,力林,2023-05-08,16.5
184,力林,2023-05-09,16.6
184,力林,2023-05-10,16.7
184,力林,2023-05-11,16.7
184,力林,2023-05-12,16.7
184,力林,2023-05-13,16.7
184,力林,2023-05-14,16.8
184,力林,2023-05-15,16.9
184,力林,2023-05-16,17
184,力林,2023-05-17,17
184,力林,2023-05-18,17.2
184,力林,2023-05-19,17.2
184,力林,2023-05-20,17.4
184,力林,2023-05-21,17.4
184,力林,2023-05-22,17.6
184,力林,2023-05-23,17.7
184,力林,2023-05-24,17.8
184,力林,2023-05-25,17.8
184,力林,2023-05-26,17.9
184,力林,2023-05-27,18
184,力林,2023-05-28,18.2
184,力林,2023-05-29,18.3
184,力林,2023-05-30,18.6
184,力林,2023-05-31,18.6
184,力林,2023-06-01,18.8
184,力林,2023-06-02,19.2
184,力林,2023-06-03,19.4
184,力林,2023-06-04,19.4
184,力林,2023-06-05,19.5
184,力林,2023-06-06,19.7
184,力林,2023-06-07,19.8
184,力林,2023-06-08,19.9
184,力林,2023-06-09,19.9
184,力林,2023-06-10,19.9
184,力林,2023-06-11,20
184,力林,2023-06-12,20
184,力林,2023-06-13,20.1
184,力林,2023-06-14,20
184,力林,2023-06-15,20.1
184,力林,2023-06-16,20.2
184,力林,2023-06-17,20.3
184,力林,2023-06-18,20.4
184,力林,2023-06-19,20.6
184,力林,2023-06-20,20.6
184,力林,2023-06-21,20.9
184,力林,2023-06-22,21
184,力林,2023-06-23,21
184,力林,2023-06-24,21
184,力林,2023-06-25,21
184,力林,2023-06-26,21.4
184,力林,2023-06-27,21.6
184,力林,2023-06-28,21.7
184,力林,2023-06-29,21.9
184,力林,2023-06-30,22.2
184,力林,2023-07-01,22.7
184,力林,2023-07-02,22.7
184,力林,2023-07-03,23.1
184,力林,2023-07-04,23.4
184,力林,2023-07-05,23.5
184,力林,2023-07-06,23.5
184,力林,2023-07-07,23.6
184,力林,2023-07-08,23.7
184,力林,2023-07-09,24
184,力林,2023-07-10,24
184,力林,2023-07-11,24
184,力林,2023-07-12,24.1
184,力林,2023-07-13,24.3
184,力林,2023-07-14,24.4
184,力林,2023-07-15,24.7
184,力林,2023-07-16,24.7
184,力林,2023-07-17,24.8
184,力林,2023-07-18,25.2
184,力林,2023-07-19,25.2
184,力林,2023-07-20,25.2
184,力林,2023-07-21,25.3
184,力林,2023-07-22,25.6
184,力林,2023-07-23,25.6
184,力林,2023-07-24,25.5
184,力林,2023-07-25,25.6
184,力林,2023-07-26,25.5
184,力林,2023-07-27,25.4
184,力林,2023-07-28,25.4
184,力林,2023-07-29,25.4
184,力林,2023-07-30,25.4
184,力林,2023-07-31,25.5
184,力林,2023-08-01,25.5
184,力林,2023-08-02,25.5
184,力林,2023-08-03,25.6
184,力林,2023-08-04,25.7
184,力林,2023-08-05,25.9
184,力林,2023-08-06,26
184,力林,2023-08-07,26.1
184,力林,2023-08-08,26.2
184,力林,2023-08-09,26.1
184,力林,2023-08-10,26
184,力林,2023-08-11,26.3
184,力林,2023-08-12,26.4
184,力林,2023-08-13,26.4
184,力林,2023-08-14,26.4
184,力林,2023-08-15,26.4
184,力林,2023-08-16,26.5
184,力林,2023-08-17,26.4
184,力林,2023-08-18,26.5
184,力林,2023-08-19,26.5
184,力林,2023-08-20,26.6
184,力林,2023-08-21,26.6
184,力林,2023-08-22,26.8
184,力林,2023-08-23,26.8
184,力林,2023-08-24,27.2
184,力林,2023-08-25,27.3
184,力林,2023-08-26,27.2
184,力林,2023-08-27,27.1
184,力林,2023-08-28,27
184,力林,2023-08-29,27
184,力林,2023-08-30,27.1
184,力林,2023-08-31,27.2
184,力林,2023-09-01,27.2
184,力林,2023-09-02,27.1
184,力林,2023-09-03,27.1
184,力林,2023-09-04,27
184,力林,2023-09-05,26.9
184,力林,2023-09-06,26.8
184,力林,2023-09-07,26.8
184,力林,2023-09-08,26.8
184,力林,2023-09-09,26.8
184,力林,2023-09-10,26.7
184,力林,2023-09-11,26.7
184,力林,2023-09-12,26.7
184,力林,2023-09-13,26.6
184,力林,2023-09-14,26.6
184,力林,2023-09-15,26.5
184,力林,2023-09-16,26.5
184,力林,2023-09-17,26.5
184,力林,2023-09-18,26.6
184,力林,2023-09-19,26.8
184,力林,2023-09-20,26.8
184,力林,2023-09-21,26.7
184,力林,2023-09-22,26.5
184,力林,2023-09-23,26.4
184,力林,2023-09-24,26.2
184,力林,2023-09-25,26.1
184,力林,2023-09-26,26
184,力林,2023-09-27,25.9
184,力林,2023-09-28,25.8
184,力林,2023-09-29,25.7
184,力林,2023-09-30,25.6
184,力林,2023-10-01,25.5
184,力林,2023-10-02,25.3
184,力林,2023-10-03,25.3
184,力林,2023-10-04,25.3
184,力林,2023-10-05,24.8
184,力林,2023-10-06,24.7
184,力林,2023-10-07,24.5
184,力林,2023-10-08,24.4
184,力林,2023-10-09,24.3
184,力林,2023-10-10,24
184,力林,2023-10-12,23.7
184,力林,2023-10-13,23.7
184,力林,2023-10-14,23.6
184,力林,2023-10-15,23.3
184,力林,2023-10-16,23
184,力林,2023-10-17,22.7
184,力林,2023-10-18,22.6
184,力林,2023-10-19,22.6
184,力林,2023-10-20,22.4
184,力林,2023-10-21,21.8
184,力林,2023-10-22,21.6
184,力林,2023-10-23,21.7
184,力林,2023-10-24,21.7
184,力林,2023-10-25,21.7
184,力林,2023-10-26,21.6
184,力林,2023-10-27,21.3
184,力林,2023-10-28,21.2
184,力林,2023-10-29,21.2
184,力林,2023-10-30,21.3
184,力林,2023-10-31,21.3
184,力林,2023-11-01,21.2
184,力林,2023-11-02,21.1
184,力林,2023-11-03,21.1
184,力林,2023-11-04,21.1
184,力林,2023-11-05,21.1
184,力林,2023-11-06,21
184,力林,2023-11-07,20.5
184,力林,2023-11-08,20.5
184,力林,2023-11-09,20.6
184,力林,2023-11-10,20.5
184,力林,2023-11-11,20.4
184,力林,2023-11-12,20
184,力林,2023-11-13,19.6
184,力林,2023-11-14,19.2
184,力林,2023-11-15,19.1
184,力林,2023-11-16,19
184,力林,2023-11-17,18
184,力林,2023-11-18,16.2
184,力林,2023-11-19,16
184,力林,2023-11-20,16
184,力林,2023-11-21,16.3
184,力林,2023-11-22,16.4
184,力林,2023-11-23,16.5
184,力林,2023-11-24,15.9
184,力林,2023-11-25,16.3
184,力林,2023-11-26,16.1
184,力林,2023-11-27,16.2
184,力林,2023-11-30,15.5
184,力林,2023-12-01,15.4
184,力林,2023-12-02,15.1
184,力林,2023-12-03,15
184,力林,2023-12-04,14.9
184,力林,2023-12-05,15
184,力林,2023-12-06,15
184,力林,2023-12-07,14.7
184,力林,2023-12-08,14.6
184,力林,2023-12-09,14.7
184,力林,2023-12-10,14.9
184,力林,2023-12-11,15.2
184,力林,2023-12-12,14.9
184,力林,2023-12-13,15
184,力林,2023-12-14,15.3
184,力林,2023-12-15,15.1
184,力林,2023-12-16,14.8
184,力林,2023-12-17,13.9
184,力林,2023-12-18,14.6
184,力林,2023-12-19,14.6
184,力林,2023-12-20,14.2
184,力林,2023-12-21,12.8
184,力林,2023-12-22,11.8
184,力林,2023-12-23,12.4
184,力林,2023-12-24,12.4
184,力林,2023-12-25,12
184,力林,2023-12-26,11.8
184,力林,2023-12-27,11.8
184,力林,2023-12-28,11.9
184,力林,2023-12-29,12.5
184,力林,2023-12-30,12.3
184,力林,2023-12-31,12.1
184,力林,2024-01-01,11.8
184,力林,2024-01-02,12
184,力林,2024-01-03,12.2
184,力林,2024-01-04,11.8
184,力林,2024-01-05,11.9
184,力林,2024-01-06,12
184,力林,2024-01-07,11.7
184,力林,2024-01-08,11.7
184,力林,2024-01-09,11.9
184,力林,2024-01-10,12.2
184,力林,2024-01-11,11.8
184,力林,2024-01-12,11.6
184,力林,2024-01-13,11.6
184,力林,2024-01-14,11.7
184,力林,2024-01-15,11.7
184,力林,2024-01-16,11.6
184,力林,2024-01-17,11.8
184,力林,2024-01-18,11.7
184,力林,2024-01-19,11.8
184,力林,2024-01-20,12
184,力林,2024-01-21,12.6
184,力林,2024-01-22,12.2
184,力林,2024-01-23,11.1
184,力林,2024-01-24,9.8
184,力林,2024-01-25,9.1
184,力林,2024-01-26,9.2
184,力林,2024-01-27,9.2
184,力林,2024-01-28,9
184,力林,2024-01-29,9
184,力林,2024-01-30,9.3
184,力林,2024-01-31,9.6
184,力林,2024-02-01,10.4
184,力林,2024-02-02,11.2
184,力林,2024-02-03,10.7
184,力林,2024-02-04,10.8
184,力林,2024-02-05,10.8
184,力林,2024-02-06,10.9
184,力林,2024-02-07,10.9
184,力林,2024-02-08,10.8
184,力林,2024-02-09,10.7
184,力林,2024-02-10,10.4
184,力林,2024-02-11,10.3
184,力林,2024-02-12,10.1
184,力林,2024-02-13,10.3
184,力林,2024-02-14,10.4
184,力林,2024-02-15,10.4
184,力林,2024-02-16,10.5
184,力林,2024-02-17,10.7
184,力林,2024-02-18,10.8
184,力林,2024-02-19,10.6
184,力林,2024-02-20,10.7
184,力林,2024-02-21,11.2
184,力林,2024-02-22,11.7
184,力林,2024-02-23,12.1
184,力林,2024-02-24,11.9
184,力林,2024-02-25,12.4
184,力林,2024-02-26,12.4
184,力林,2024-02-27,12.2
184,力林,2024-02-28,12.1
184,力林,2024-02-29,12.1
184,力林,2024-03-01,12.5
184,力林,2024-03-02,12.1
184,力林,2024-03-03,11.9
184,力林,2024-03-04,11.7
184,力林,2024-03-05,11.9
184,力林,2024-03-06,12.4
184,力林,2024-03-07,12.2
184,力林,2024-03-08,11.9
184,力林,2024-03-09,11.4
184,力林,2024-03-10,11.4
184,力林,2024-03-11,11.5
184,力林,2024-03-12,11.6
184,力林,2024-03-13,11.5
184,力林,2024-03-14,11.5
184,力林,2024-03-15,11.6
184,力林,2024-03-16,11.7
184,力林,2024-03-17,11.8
184,力林,2024-03-18,11.8
184,力林,2024-03-19,11.9
184,力林,2024-03-20,11.5
184,力林,2024-03-21,11.3
184,力林,2024-03-22,11.5
184,力林,2024-03-23,11.5
184,力林,2024-03-24,11.8
184,力林,2024-03-25,12.2
184,力林,2024-03-26,12.6
184,力林,2024-03-27,12.5
184,力林,2024-03-28,12.5
184,力林,2024-03-29,12.6
184,力林,2024-03-30,12.6
184,力林,2024-03-31,12.7
184,力林,2024-04-01,12.8
184,力林,2024-04-02,12.9
184,力林,2024-04-03,13.1
184,力林,2024-04-04,13.2
184,力林,2024-04-05,13.3
184,力林,2024-04-06,13.5
184,力林,2024-04-07,13.6
184,力林,2024-04-08,13.7
184,力林,2024-04-09,13.7
184,力林,2024-04-10,13.8
184,力林,2024-04-11,14
184,力林,2024-04-12,14
184,力林,2024-04-13,14.2
184,力林,2024-04-14,14.2
184,力林,2024-04-15,14.3
184,力林,2024-04-16,14.5
184,力林,2024-04-17,14.6
184,力林,2024-04-18,14.8
184,力林,2024-04-19,14.9
184,力林,2024-04-20,15
184,力林,2024-04-21,15.1
184,力林,2024-04-22,15.1
184,力林,2024-04-23,15.2
184,力林,2024-04-24,15.3
184,力林,2024-04-25,15.4
184,力林,2024-04-26,15.4
184,力林,2024-04-27,15.5
184,力林,2024-04-28,15.6
184,力林,2024-04-29,15.8
184,力林,2024-04-30,15.9
184,力林,2024-05-01,16.1
184,力林,2024-05-02,16.2
184,力林,2024-05-03,16.3
184,力林,2024-05-04,16.3
184,力林,2024-05-05,16.4
184,力林,2024-05-06,16.6
184,力林,2024-05-07,16.6
184,力林,2024-05-08,16.8
184,力林,2024-05-09,16.9
184,力林,2024-05-10,17
184,力林,2024-05-11,17
184,力林,2024-05-12,17.1
184,力林,2024-05-13,17.2
184,力林,2024-05-14,17.2
184,力林,2024-05-15,17.3
184,力林,2024-05-16,17.3
184,力林,2024-05-17,17.4
184,力林,2024-05-18,17.4
184,力林,2024-05-19,17.5
184,力林,2024-05-20,17.6
184,力林,2024-05-21,17.7
184,力林,2024-05-22,17.7
184,力林,2024-05-23,17.9
184,力林,2024-05-24,18.1
184,力林,2024-05-25,18.2
184,力林,2024-05-26,18.3
184,力林,2024-05-27,18.5
184,力林,2024-05-28,18.7
184,力林,2024-05-29,18.8
184,力林,2024-05-30,18.9
184,力林,2024-05-31,19
184,力林,2024-06-01,19.1
184,力林,2024-06-02,19.3
184,力林,2024-06-03,19.3
184,力林,2024-06-04,19.3
184,力林,2024-06-05,19.4
184,力林,2024-06-06,19.4
184,力林,2024-06-07,19.5
184,力林,2024-06-08,19.7
184,力林,2024-06-09,19.7
184,力林,2024-06-10,19.7
184,力林,2024-06-11,19.8
184,力林,2024-06-12,19.9
184,力林,2024-06-13,20
184,力林,2024-06-14,20.1
184,力林,2024-06-15,20.2
184,力林,2024-06-16,20.3
184,力林,2024-06-17,20.5
184,力林,2024-06-18,20.7
184,力林,2024-06-19,20.4
184,力林,2024-06-20,20.3
184,力林,2024-06-21,19.7
184,力林,2024-06-22,19.6
184,力林,2024-06-23,19.7
184,力林,2024-06-24,20.2
184,力林,2024-06-25,20.3
184,力林,2024-06-26,20.6
184,力林,2024-06-27,20.8
184,力林,2024-06-28,21.6
184,力林,2024-06-29,21.5
184,力林,2024-06-30,21.5
184,力林,2024-07-01,21.8
184,力林,2024-07-02,21.6
184,力林,2024-07-03,21.8
184,力林,2024-07-04,21.9
184,力林,2024-07-05,21.7
184,力林,2024-07-06,22
184,力林,2024-07-07,22.2
184,力林,2024-07-08,22.5
184,力林,2024-07-09,22.8
184,力林,2024-07-10,22.9
184,力林,2024-07-11,23.6
184,力林,2024-07-12,23.7
184,力林,2024-07-13,23.7
184,力林,2024-07-14,23.8
184,力林,2024-07-15,23.8
184,力林,2024-07-16,23.7
184,力林,2024-07-17,23.8
184,力林,2024-07-18,23.7
184,力林,2024-07-19,23.8
184,力林,2024-07-20,24
184,力林,2024-07-21,24.2
184,力林,2024-07-22,24.2
184,力林,2024-07-23,24.3
184,力林,2024-07-24,24.5
184,力林,2024-07-25,24.5
184,力林,2024-07-26,24.8
184,力林,2024-07-27,25.2
184,力林,2024-07-28,25.4
184,力林,2024-07-29,25.5
184,力林,2024-07-30,25.5
184,力林,2024-07-31,25.7
184,力林,2024-08-01,25.7
184,力林,2024-08-03,26
184,力林,2024-08-04,26.1
184,力林,2024-08-05,26.3
184,力林,2024-08-06,26.4
184,力林,2024-08-07,26.6
184,力林,2024-08-08,26.8
184,力林,2024-08-09,26.9
184,力林,2024-08-10,27.1
184,力林,2024-08-11,27.2
184,力林,2024-08-12,27.3
184,力林,2024-08-13,27.4
184,力林,2024-08-14,27.5
184,力林,2024-08-15,27.6
184,力林,2024-08-16,27.7
184,力林,2024-08-17,27.7
184,力林,2024-08-18,27.7
184,力林,2024-08-19,27.6
184,力林,2024-08-20,27.6
184,力林,2024-08-21,27.7
184,力林,2024-08-22,27.6
184,力林,2024-08-23,27.7
184,力林,2024-08-24,27.7
184,力林,2024-08-25,27.7
184,力林,2024-08-26,27.7
184,力林,2024-08-27,27.7
184,力林,2024-08-28,27.5
184,力林,2024-08-29,27.5
184,力林,2024-08-30,27.6
184,力林,2024-08-31,27.6
184,力林,2024-09-01,27.6
184,力林,2024-09-02,27.5
184,力林,2024-09-03,27.5
184,力林,2024-09-04,27.5
184,力林,2024-09-05,27.4
184,力林,2024-09-06,27.4
184,力林,2024-09-07,27.4
184,力林,2024-09-08,27.5
184,力林,2024-09-09,27.5
184,力林,2024-09-10,27.4
184,力林,2024-09-11,27.4
184,力林,2024-09-12,27.4
184,力林,2024-09-13,27.5
184,力林,2024-09-14,27.5
184,力林,2024-09-15,27.5
184,力林,2024-09-16,27.5
184,力林,2024-09-17,27.5
184,力林,2024-09-18,27.5
184,力林,2024-09-19,27.6
184,力林,2024-09-20,27.6
184,力林,2024-09-21,27.7
184,力林,2024-09-22,27.7
184,力林,2024-09-23,27.5
184,力林,2024-09-24,27.5
184,力林,2024-09-25,27.4
184,力林,2024-09-26,27.2
184,力林,2024-09-27,27
184,力林,2024-09-28,26.9
184,力林,2024-09-29,26.7
184,力林,2024-09-30,26.6
184,力林,2024-10-01,26.5
184,力林,2024-10-02,25.9
184,力林,2024-10-03,25.9
184,力林,2024-10-04,25.8
184,力林,2024-10-05,25.6
184,力林,2024-10-06,25.5
184,力林,2024-10-07,25.1
184,力林,2024-10-08,25.1
184,力林,2024-10-09,24.9
184,力林,2024-10-10,24.8
184,力林,2024-10-11,24.7
184,力林,2024-10-12,24.5
184,力林,2024-10-13,24.4
184,力林,2024-10-14,24.3
184,力林,2024-10-15,24.2
184,力林,2024-10-16,24.1
184,力林,2024-10-17,24
184,力林,2024-10-18,23.9
184,力林,2024-10-19,23.9
184,力林,2024-10-20,23.7
184,力林,2024-10-21,23.7
184,力林,2024-10-22,23.7
184,力林,2024-10-23,23.4
184,力林,2024-10-24,23.3
184,力林,2024-10-25,23.2
184,力林,2024-10-26,23.1
184,力林,2024-10-27,23
184,力林,2024-10-28,22.9
184,力林,2024-10-29,22.8
184,力林,2024-10-30,22.8
184,力林,2024-10-31,22.7
184,力林,2024-11-01,22.6
184,力林,2024-11-02,22
184,力林,2024-11-03,21.8
184,力林,2024-11-04,21.6
184,力林,2024-11-05,21.6
184,力林,2024-11-06,21.8
184,力林,2024-11-07,21.9
184,力林,2024-11-08,22
184,力林,2024-11-09,22
184,力林,2024-11-10,22.3
184,力林,2024-11-11,22.3
184,力林,2024-11-12,22.6
184,力林,2024-11-13,22.6
184,力林,2024-11-14,22.7
184,力林,2024-11-15,22.5
184,力林,2024-11-16,22.6
184,力林,2024-11-17,22.5
184,力林,2024-11-18,22.6
184,力林,2024-11-19,22.7
184,力林,2024-11-20,22.7
184,力林,2024-11-21,22.6
184,力林,2024-11-22,22.2
184,力林,2024-11-23,22.1
184,力林,2024-11-24,21.8
184,力林,2024-11-25,21.7
184,力林,2024-11-26,21.3
184,力林,2024-11-27,20.5
184,力林,2024-11-28,19.5
184,力林,2024-11-29,18.5
184,力林,2024-11-30,17.9
184,力林,2024-12-01,18.2
184,力林,2024-12-02,18.3
184,力林,2024-12-03,18.3
184,力林,2024-12-04,18.5
184,力林,2024-12-05,18.3
184,力林,2024-12-06,17.9
184,力林,2024-12-07,18.1
184,力林,2024-12-08,17.8
184,力林,2024-12-09,17.9
184,力林,2024-12-10,17.7
184,力林,2024-12-11,17.9
184,力林,2024-12-12,18
184,力林,2024-12-13,17.8
184,力林,2024-12-14,17.7
184,力林,2024-12-15,16.5
184,力林,2024-12-16,15.9
184,力林,2024-12-17,15.7
184,力林,2024-12-18,16.2
184,力林,2024-12-19,16.2
184,力林,2024-12-20,15.8
184,力林,2024-12-21,15.8
184,力林,2024-12-22,15
184,力林,2024-12-23,15.2
184,力林,2024-12-24,15
184,力林,2024-12-25,14.8
184,力林,2024-12-26,14.9
184,力林,2024-12-27,14.4
184,力林,2024-12-28,13.6
184,力林,2024-12-29,13.2
184,力林,2024-12-30,13.5
184,力林,2024-12-31,13.5
184,力林,2025-01-01,13.5
184,力林,2025-01-02,13.8
184,力林,2025-01-03,13.1
184,力林,2025-01-04,14.1
184,力林,2025-01-05,13.9
184,力林,2025-01-06,14.1
184,力林,2025-01-07,13.3
184,力林,2025-01-08,12.5
184,力林,2025-01-09,12.2
184,力林,2025-01-10,12
184,力林,2025-01-11,11.8
184,力林,2025-01-12,11.5
184,力林,2025-01-13,11.5
184,力林,2025-01-14,11.7
184,力林,2025-01-15,12.2
184,力林,2025-01-16,11.7
184,力林,2025-01-17,11.6
184,力林,2025-01-18,11.6
184,力林,2025-01-19,11.7
184,力林,2025-01-20,12.1
184,力林,2025-01-21,12.1
184,力林,2025-01-22,12.2
184,力林,2025-01-23,12.4
184,力林,2025-01-24,12.6
184,力林,2025-01-25,13
184,力林,2025-01-26,13.6
184,力林,2025-01-27,13.6
184,力林,2025-01-28,12.7
184,力林,2025-01-29,11.8
184,力林,2025-01-30,11.8
184,力林,2025-01-31,12.1
184,力林,2025-02-01,12.6
184,力林,2025-02-02,13.7
184,力林,2025-02-03,12.9
184,力林,2025-02-04,11.7
184,力林,2025-02-05,10.7
184,力林,2025-02-06,10.4
184,力林,2025-02-07,10.2
184,力林,2025-02-08,9.3
184,力林,2025-02-09,9
184,力林,2025-02-10,9.2
184,力林,2025-02-11,9.5
184,力林,2025-02-12,9.7
184,力林,2025-02-13,9.5
184,力林,2025-02-14,9.6
184,力林,2025-02-15,9.9
184,力林,2025-02-16,10.2
184,力林,2025-02-17,10.3
184,力林,2025-02-18,10
184,力林,2025-02-19,9.8
184,力林,2025-02-20,9.8
184,力林,2025-02-21,10
184,力林,2025-02-22,9.9
184,力林,2025-02-23,9.7
184,力林,2025-02-24,9
184,力林,2025-02-25,9.1
184,力林,2025-02-26,9.3
184,力林,2025-02-27,9.4
184,力林,2025-02-28,9.7
184,力林,2025-03-01,10
184,力林,2025-03-02,10.1
184,力林,2025-03-03,10.5
184,力林,2025-03-04,11.1
184,力林,2025-03-05,11.4
184,力林,2025-03-06,12
184,力林,2025-03-07,11.8
184,力林,2025-03-08,12
184,力林,2025-03-09,12
184,力林,2025-03-10,12.3
184,力林,2025-03-11,12.3
184,力林,2025-03-12,12.5
184,力林,2025-03-13,12.6
184,力林,2025-03-14,12.7
184,力林,2025-03-15,13.5
184,力林,2025-03-16,13.6
184,力林,2025-03-17,12.6
184,力林,2025-03-18,12.5
184,力林,2025-03-19,11.8
184,力林,2025-03-20,11.9
184,力林,2025-03-21,11.8
184,力林,2025-03-22,11.8
184,力林,2025-03-23,11.8
184,力林,2025-03-24,11.8
184,力林,2025-03-25,11.9
184,力林,2025-03-26,12.2
184,力林,2025-03-27,12.4
184,力林,2025-03-28,11.9
184,力林,2025-03-29,12.9
184,力林,2025-03-30,13
184,力林,2025-03-31,13.1
184,力林,2025-04-01,13.2
184,力林,2025-04-02,13.4
184,力林,2025-04-03,13.3
184,力林,2025-04-04,13.4
184,力林,2025-04-05,13.6
184,力林,2025-04-06,13.6
184,力林,2025-04-07,13.7
184,力林,2025-04-08,13.8
184,力林,2025-04-09,13.9
184,力林,2025-04-10,13.9
184,力林,2025-04-11,14.1
184,力林,2025-04-12,14.2
184,力林,2025-04-13,14.3
184,力林,2025-04-14,14.3
184,力林,2025-04-15,14.1
184,力林,2025-04-16,14.2
184,力林,2025-04-18,14.7
184,力林,2025-04-19,14.8
184,力林,2025-04-20,14.7
184,力林,2025-04-21,15
184,力林,2025-04-22,15
184,力林,2025-04-23,15.3
184,力林,2025-04-24,15.8
184,力林,2025-04-25,16.1
184,力林,2025-04-26,16.4
184,力林,2025-04-27,16.6
184,力林,2025-04-28,16.7
184,力林,2025-04-29,16.8
184,力林,2025-04-30,17
184,力林,2025-05-01,17.1
184,力林,2025-05-02,17.2
184,力林,2025-05-03,17.3
184,力林,2025-05-04,17.4
184,力林,2025-05-05,17.4
184,力林,2025-05-06,17.5
184,力林,2025-05-07,17.6
184,力林,2025-05-08,17.6
184,力林,2025-05-09,17.4
184,力林,2025-05-10,17.4
184,力林,2025-05-11,17.5
184,力林,2025-05-12,17.6
184,力林,2025-05-13,17.6
184,力林,2025-05-14,17.7
184,力林,2025-05-15,17.8
184,力林,2025-05-16,17.6
184,力林,2025-05-17,17.7
184,力林,2025-05-18,17.8
184,力林,2025-05-19,17.9
184,力林,2025-05-20,18.1
184,力林,2025-05-21,18.2
184,力林,2025-05-22,18.4
184,力林,2025-05-23,18.5
184,力林,2025-05-24,18.6
184,力林,2025-05-25,18.8
184,力林,2025-05-26,18.9
184,力林,2025-05-27,18.9
184,力林,2025-05-28,19
184,力林,2025-05-29,19
184,力林,2025-05-30,19.2
184,力林,2025-05-31,19.2
184,力林,2025-06-01,19.4
184,力林,2025-06-02,19.5
184,力林,2025-06-03,19.5
184,力林,2025-06-04,19.5
184,力林,2025-06-05,19.7
184,力林,2025-06-06,19.8
184,力林,2025-06-07,19.9
