瘤痢,瘤痢疙,老矫,钦拌 老荤樊(MJ/m2)
184,力林,2013-03-06,16.78
184,力林,2013-03-07,12.54
184,力林,2013-03-08,15.88
184,力林,2013-03-09,16.63
184,力林,2013-03-10,17.47
184,力林,2013-03-11,18.71
184,力林,2013-03-12,16.79
184,力林,2013-03-13,2.63
184,力林,2013-03-14,10.92
184,力林,2013-03-15,14.87
184,力林,2013-03-16,15.3
184,力林,2013-03-17,4.82
184,力林,2013-03-18,4.19
184,力林,2013-03-19,15.68
184,力林,2013-03-20,5.37
184,力林,2013-03-21,22.6
184,力林,2013-03-22,4.93
184,力林,2013-03-23,19.43
184,力林,2013-03-24,12.45
184,力林,2013-03-25,18.53
184,力林,2013-03-26,14.67
184,力林,2013-03-27,11.39
184,力林,2013-03-28,22.05
184,力林,2013-03-29,19.11
184,力林,2013-03-30,14.07
184,力林,2013-03-31,21.98
184,力林,2013-04-01,22.03
184,力林,2013-04-02,3.22
184,力林,2013-04-03,23.85
184,力林,2013-04-04,11.54
184,力林,2013-04-05,11.76
184,力林,2013-04-06,.62
184,力林,2013-04-07,12.83
184,力林,2013-04-08,22.3
184,力林,2013-04-09,22.64
184,力林,2013-04-10,22.16
184,力林,2013-04-11,23.05
184,力林,2013-04-12,21.9
184,力林,2013-04-13,22.68
184,力林,2013-04-14,17.58
184,力林,2013-04-15,22.23
184,力林,2013-04-16,17.34
184,力林,2013-04-17,16.19
184,力林,2013-04-18,16.54
184,力林,2013-04-19,20.93
184,力林,2013-04-20,2.24
184,力林,2013-04-21,25.12
184,力林,2013-04-22,24.44
184,力林,2013-04-23,3.39
184,力林,2013-04-24,12.15
184,力林,2013-04-25,20.07
184,力林,2013-04-26,25.97
184,力林,2013-04-27,24.36
184,力林,2013-04-28,26.13
184,力林,2013-04-29,17.79
184,力林,2013-04-30,11.12
184,力林,2013-05-01,24.26
184,力林,2013-05-02,26.12
184,力林,2013-05-03,24.83
184,力林,2013-05-04,26.71
184,力林,2013-05-05,26.65
184,力林,2013-05-06,25.62
184,力林,2013-05-07,23.8
184,力林,2013-05-08,23.93
184,力林,2013-05-09,9.53
184,力林,2013-05-10,6.54
184,力林,2013-05-11,24.96
184,力林,2013-05-12,26.38
184,力林,2013-05-13,26.78
184,力林,2013-05-14,27.36
184,力林,2013-05-15,22.27
184,力林,2013-05-16,4.41
184,力林,2013-05-17,21.21
184,力林,2013-05-18,14.5
184,力林,2013-05-19,6.64
184,力林,2013-05-20,17.64
184,力林,2013-05-21,26.21
184,力林,2013-05-22,25.3
184,力林,2013-05-23,24.17
184,力林,2013-05-24,25.55
184,力林,2013-05-25,23.83
184,力林,2013-05-26,16.27
184,力林,2013-05-27,3.1
184,力林,2013-05-28,18.39
184,力林,2013-05-29,12.7
184,力林,2013-05-30,13.03
184,力林,2013-05-31,9.84
184,力林,2013-06-01,5.36
184,力林,2013-06-02,21.43
184,力林,2013-06-03,22.86
184,力林,2013-06-04,25.7
184,力林,2013-06-05,18.54
184,力林,2013-06-06,25.44
184,力林,2013-06-07,17.82
184,力林,2013-06-08,4.48
184,力林,2013-06-09,11.19
184,力林,2013-06-10,3.98
184,力林,2013-06-11,14.82
184,力林,2013-06-12,8.55
184,力林,2013-06-13,10.51
184,力林,2013-06-14,5.22
184,力林,2013-06-15,17.97
184,力林,2013-06-16,26.75
184,力林,2013-06-17,23.14
184,力林,2013-06-18,9.11
184,力林,2013-06-19,5.32
184,力林,2013-06-20,4.05
184,力林,2013-06-21,13.56
184,力林,2013-06-22,14.64
184,力林,2013-06-23,6.37
184,力林,2013-06-24,25.42
184,力林,2013-06-25,7.47
184,力林,2013-06-26,21.08
184,力林,2013-06-27,6.41
184,力林,2013-06-28,20.58
184,力林,2013-06-29,24.31
184,力林,2013-06-30,11.03
184,力林,2013-07-01,20.34
184,力林,2013-07-02,23.34
184,力林,2013-07-03,8.55
184,力林,2013-07-04,9.22
184,力林,2013-07-05,10.29
184,力林,2013-07-06,5.98
184,力林,2013-07-07,18.58
184,力林,2013-07-08,26.09
184,力林,2013-07-09,26.44
184,力林,2013-07-10,27.76
184,力林,2013-07-11,27.79
184,力林,2013-07-12,27.71
184,力林,2013-07-13,27.24
184,力林,2013-07-14,16.17
184,力林,2013-07-15,25.68
184,力林,2013-07-16,28.05
184,力林,2013-07-17,26.46
184,力林,2013-07-18,25.85
184,力林,2013-07-19,22.74
184,力林,2013-07-20,24.26
184,力林,2013-07-21,22.73
184,力林,2013-07-22,23.14
184,力林,2013-07-23,18.95
184,力林,2013-07-24,21.59
184,力林,2013-07-25,14.36
184,力林,2013-07-26,15.92
184,力林,2013-07-27,17.61
184,力林,2013-07-28,20.69
184,力林,2013-07-29,12.48
184,力林,2013-07-30,16.83
184,力林,2013-07-31,24.23
184,力林,2013-08-01,22.81
184,力林,2013-08-02,25.3
184,力林,2013-08-03,10.57
184,力林,2013-08-04,15.24
184,力林,2013-08-05,14.51
184,力林,2013-08-06,18.71
184,力林,2013-08-07,23.77
184,力林,2013-08-08,23.67
184,力林,2013-08-09,24.81
184,力林,2013-08-10,21.38
184,力林,2013-08-11,22.84
184,力林,2013-08-12,21.48
184,力林,2013-08-13,25.26
184,力林,2013-08-14,23.47
184,力林,2013-08-15,24.93
184,力林,2013-08-16,20.37
184,力林,2013-08-17,21.86
184,力林,2013-08-18,17.23
184,力林,2013-08-19,11.83
184,力林,2013-08-20,24.78
184,力林,2013-08-21,20.36
184,力林,2013-08-22,14.2
184,力林,2013-08-23,17.38
184,力林,2013-08-24,12.98
184,力林,2013-08-25,12.24
184,力林,2013-08-26,19.88
184,力林,2013-08-27,24.01
184,力林,2013-08-28,23.73
184,力林,2013-08-29,23.95
184,力林,2013-08-30,13.92
184,力林,2013-08-31,21.48
184,力林,2013-09-01,18.33
184,力林,2013-09-02,22.73
184,力林,2013-09-03,3.88
184,力林,2013-09-04,24.84
184,力林,2013-09-05,17.02
184,力林,2013-09-06,2.11
184,力林,2013-09-07,4.42
184,力林,2013-09-08,20.31
184,力林,2013-09-09,21.23
184,力林,2013-09-10,21.57
184,力林,2013-09-11,19.78
184,力林,2013-09-12,15.44
184,力林,2013-09-13,15.12
184,力林,2013-09-14,6.69
184,力林,2013-09-15,21
184,力林,2013-09-16,23.45
184,力林,2013-09-17,21.45
184,力林,2013-09-18,19.55
184,力林,2013-09-19,20.09
184,力林,2013-09-20,21.14
184,力林,2013-09-21,20.89
184,力林,2013-09-22,4.22
184,力林,2013-09-23,16.41
184,力林,2013-09-24,19.74
184,力林,2013-09-25,15.19
184,力林,2013-09-26,21.96
184,力林,2013-09-27,9.28
184,力林,2013-09-28,12.59
184,力林,2013-09-29,3.29
184,力林,2013-09-30,11.44
184,力林,2013-10-01,3.79
184,力林,2013-10-02,10.79
184,力林,2013-10-03,19.1
184,力林,2013-10-04,19.24
184,力林,2013-10-05,3.6
184,力林,2013-10-06,4.11
184,力林,2013-10-07,4.38
184,力林,2013-10-08,2.59
184,力林,2013-10-09,5.5
184,力林,2013-10-10,11.28
184,力林,2013-10-11,13.72
184,力林,2013-10-12,18.93
184,力林,2013-10-13,18.46
184,力林,2013-10-14,11.94
184,力林,2013-10-15,4.32
184,力林,2013-10-16,17.91
184,力林,2013-10-17,10.85
184,力林,2013-10-18,11.78
184,力林,2013-10-19,8.7
184,力林,2013-10-20,11.36
184,力林,2013-10-21,16.19
184,力林,2013-10-22,14.25
184,力林,2013-10-23,4.77
184,力林,2013-10-24,13.37
184,力林,2013-10-25,15.68
184,力林,2013-10-26,9.37
184,力林,2013-10-27,16.24
184,力林,2013-10-28,13.84
184,力林,2013-10-29,14.82
184,力林,2013-10-30,9.47
184,力林,2013-10-31,11.6
184,力林,2013-11-01,13.82
184,力林,2013-11-02,11.07
184,力林,2013-11-03,7.11
184,力林,2013-11-04,10.88
184,力林,2013-11-05,12.55
184,力林,2013-11-06,8.25
184,力林,2013-11-07,10.1
184,力林,2013-11-08,13.28
184,力林,2013-11-09,2.61
184,力林,2013-11-10,10.17
184,力林,2013-11-11,7.76
184,力林,2013-11-12,6.54
184,力林,2013-11-13,12.1
184,力林,2013-11-14,10.47
184,力林,2013-11-15,10.18
184,力林,2013-11-16,10.69
184,力林,2013-11-17,7.63
184,力林,2013-11-18,4.36
184,力林,2013-11-19,5.37
184,力林,2013-11-20,9.76
184,力林,2013-11-21,10.92
184,力林,2013-11-22,10.45
184,力林,2013-11-23,11.31
184,力林,2013-11-24,6.69
184,力林,2013-11-25,4.24
184,力林,2013-11-26,8.52
184,力林,2013-11-27,2.49
184,力林,2013-11-28,4.34
184,力林,2013-11-29,4.86
184,力林,2013-11-30,7.46
184,力林,2013-12-01,6.85
184,力林,2013-12-02,6.1
184,力林,2013-12-03,10.05
184,力林,2013-12-04,9.9
184,力林,2013-12-05,10.75
184,力林,2013-12-06,8.89
184,力林,2013-12-07,12.04
184,力林,2013-12-08,11.56
184,力林,2013-12-09,1.85
184,力林,2013-12-10,2.12
184,力林,2013-12-11,4.73
184,力林,2013-12-12,11.46
184,力林,2013-12-13,8.61
184,力林,2013-12-14,10.16
184,力林,2013-12-15,6.23
184,力林,2013-12-16,3.85
184,力林,2013-12-17,.58
184,力林,2013-12-18,3.65
184,力林,2013-12-19,4.73
184,力林,2013-12-20,1.82
184,力林,2013-12-21,4.92
184,力林,2013-12-22,2.02
184,力林,2013-12-23,1.1
184,力林,2013-12-24,5.55
184,力林,2013-12-25,1.45
184,力林,2013-12-26,3.13
184,力林,2013-12-27,2.36
184,力林,2013-12-28,2.84
184,力林,2013-12-29,6.45
184,力林,2013-12-30,6.61
184,力林,2013-12-31,9.39
184,力林,2014-01-01,10.38
184,力林,2014-01-02,10.1
184,力林,2014-01-03,7.5
184,力林,2014-01-04,10.68
184,力林,2014-01-05,11.69
184,力林,2014-01-06,10.52
184,力林,2014-01-07,7.44
184,力林,2014-01-08,.56
184,力林,2014-01-09,2.76
184,力林,2014-01-10,5.19
184,力林,2014-01-11,9.85
184,力林,2014-01-12,5.15
184,力林,2014-01-13,8.14
184,力林,2014-01-14,11.9
184,力林,2014-01-15,7.52
184,力林,2014-01-16,9.08
184,力林,2014-01-17,10.09
184,力林,2014-01-18,2.93
184,力林,2014-01-19,12.43
184,力林,2014-01-20,5.57
184,力林,2014-01-21,3.49
184,力林,2014-01-22,6.42
184,力林,2014-01-23,12.5
184,力林,2014-01-24,12.9
184,力林,2014-01-25,5.42
184,力林,2014-01-26,13.55
184,力林,2014-01-27,13.56
184,力林,2014-01-28,5.11
184,力林,2014-01-29,12.72
184,力林,2014-01-30,1.33
184,力林,2014-01-31,12.76
184,力林,2014-02-01,7.12
184,力林,2014-02-02,2.87
184,力林,2014-02-03,12.8
184,力林,2014-02-04,9.42
184,力林,2014-02-05,6.11
184,力林,2014-02-06,1.24
184,力林,2014-02-07,2.15
184,力林,2014-02-08,1.24
184,力林,2014-02-09,2.5
184,力林,2014-02-10,.74
184,力林,2014-02-11,7.18
184,力林,2014-02-12,6.87
184,力林,2014-02-13,10.14
184,力林,2014-02-14,6.37
184,力林,2014-02-15,16.68
184,力林,2014-02-16,12.43
184,力林,2014-02-17,1.48
184,力林,2014-02-18,4.58
184,力林,2014-02-19,6.16
184,力林,2014-02-20,9.85
184,力林,2014-02-21,17.93
184,力林,2014-02-22,14.77
184,力林,2014-02-23,15.13
184,力林,2014-02-24,15.99
184,力林,2014-02-25,9.35
184,力林,2014-02-26,1.22
184,力林,2014-02-27,14.7
184,力林,2014-02-28,4.57
184,力林,2014-03-01,1.17
184,力林,2014-03-02,17.54
184,力林,2014-03-03,19.7
184,力林,2014-03-04,2.77
184,力林,2014-03-05,19.67
184,力林,2014-03-06,15.43
184,力林,2014-03-07,17.04
184,力林,2014-03-08,12.71
184,力林,2014-03-09,12.38
184,力林,2014-03-10,20.61
184,力林,2014-03-11,20.09
184,力林,2014-03-12,3.3
184,力林,2014-03-13,3.61
184,力林,2014-03-14,12.13
184,力林,2014-03-15,20.12
184,力林,2014-03-16,21.98
184,力林,2014-03-17,9.38
184,力林,2014-03-18,13.69
184,力林,2014-03-19,7.94
184,力林,2014-03-20,17.37
184,力林,2014-03-21,18.19
184,力林,2014-03-22,20.17
184,力林,2014-03-23,20.57
184,力林,2014-03-24,18.98
184,力林,2014-03-25,3
184,力林,2014-03-26,7.7
184,力林,2014-03-27,20.45
184,力林,2014-03-28,15.97
184,力林,2014-03-29,5.26
184,力林,2014-03-30,6.17
184,力林,2014-03-31,15.12
184,力林,2014-04-01,22.4
184,力林,2014-04-02,24.05
184,力林,2014-04-03,15.69
184,力林,2014-04-04,24.55
184,力林,2014-04-05,10.14
184,力林,2014-04-06,24.49
184,力林,2014-04-07,20.26
184,力林,2014-04-08,21.95
184,力林,2014-04-09,23.87
184,力林,2014-04-10,23
184,力林,2014-04-11,22.76
184,力林,2014-04-12,9.78
184,力林,2014-04-13,5.73
184,力林,2014-04-14,25.61
184,力林,2014-04-15,25.8
184,力林,2014-04-16,7.59
184,力林,2014-04-17,3.23
184,力林,2014-04-18,3.1
184,力林,2014-04-19,3.69
184,力林,2014-04-20,8.68
184,力林,2014-04-21,21.63
184,力林,2014-04-22,16.51
184,力林,2014-04-23,25.37
184,力林,2014-04-24,23.97
184,力林,2014-04-25,24.97
184,力林,2014-04-26,11.05
184,力林,2014-04-27,4.88
184,力林,2014-04-28,13.58
184,力林,2014-04-29,4.05
184,力林,2014-04-30,26.43
184,力林,2014-05-01,26.05
184,力林,2014-05-02,24.18
184,力林,2014-05-03,27.55
184,力林,2014-05-04,5.05
184,力林,2014-05-05,27.34
184,力林,2014-05-06,27.29
184,力林,2014-05-07,28.07
184,力林,2014-05-08,19.2
184,力林,2014-05-09,26.23
184,力林,2014-05-10,16.95
184,力林,2014-05-11,11.18
184,力林,2014-05-12,22.24
184,力林,2014-05-13,26.31
184,力林,2014-05-14,4.02
184,力林,2014-05-15,25.04
184,力林,2014-05-16,27.89
184,力林,2014-05-17,21.97
184,力林,2014-05-18,26.81
184,力林,2014-05-19,26.88
184,力林,2014-05-20,3.88
184,力林,2014-05-21,27.49
184,力林,2014-05-22,24.05
184,力林,2014-05-23,24.46
184,力林,2014-05-24,20.9
184,力林,2014-05-25,6.82
184,力林,2014-05-26,26.3
184,力林,2014-05-27,22.1
184,力林,2014-05-28,25.91
184,力林,2014-05-29,25.55
184,力林,2014-05-30,27.94
184,力林,2014-05-31,26.98
184,力林,2014-06-01,14.32
184,力林,2014-06-02,13.55
184,力林,2014-06-03,8.41
184,力林,2014-06-04,4.96
184,力林,2014-06-05,17.67
184,力林,2014-06-06,23.84
184,力林,2014-06-07,19.87
184,力林,2014-06-08,23.37
184,力林,2014-06-09,20.37
184,力林,2014-06-10,12.15
184,力林,2014-06-11,22.25
184,力林,2014-06-12,24.38
184,力林,2014-06-13,24.98
184,力林,2014-06-14,24.37
184,力林,2014-06-15,21.75
184,力林,2014-06-16,11.6
184,力林,2014-06-17,4.38
184,力林,2014-06-18,19.68
184,力林,2014-06-19,26.82
184,力林,2014-06-20,14.21
184,力林,2014-06-21,2.83
184,力林,2014-06-22,9.39
184,力林,2014-06-23,15.09
184,力林,2014-06-24,25.93
184,力林,2014-06-25,10.78
184,力林,2014-06-26,10.29
184,力林,2014-06-27,24.92
184,力林,2014-06-28,24.48
184,力林,2014-06-29,26.77
184,力林,2014-06-30,26
184,力林,2014-07-01,20.37
184,力林,2014-07-02,5.6
184,力林,2014-07-03,17.12
184,力林,2014-07-04,9.74
184,力林,2014-07-05,5.65
184,力林,2014-07-06,5.72
184,力林,2014-07-07,11.09
184,力林,2014-07-08,21.6
184,力林,2014-07-09,6.39
184,力林,2014-07-10,8.17
184,力林,2014-07-11,9.47
184,力林,2014-07-12,7.94
184,力林,2014-07-13,3.88
184,力林,2014-07-14,20.62
184,力林,2014-07-15,10.49
184,力林,2014-07-16,13.11
184,力林,2014-07-17,13.89
184,力林,2014-07-18,17.16
184,力林,2014-07-19,23.91
184,力林,2014-07-20,23.91
184,力林,2014-07-21,24.57
184,力林,2014-07-22,24.99
184,力林,2014-07-23,23.69
184,力林,2014-07-24,12.58
184,力林,2014-07-25,25.06
184,力林,2014-07-26,14.09
184,力林,2014-07-27,9.62
184,力林,2014-07-28,13.26
184,力林,2014-07-29,17.95
184,力林,2014-07-30,25.52
184,力林,2014-07-31,21.01
184,力林,2014-08-01,8.67
184,力林,2014-08-02,3.68
184,力林,2014-08-03,13.33
184,力林,2014-08-04,8.89
184,力林,2014-08-05,24.72
184,力林,2014-08-06,15.37
184,力林,2014-08-07,18.51
184,力林,2014-08-08,4.19
184,力林,2014-08-09,14.64
184,力林,2014-08-10,21.22
184,力林,2014-08-11,19.69
184,力林,2014-08-12,19.77
184,力林,2014-08-13,12.29
184,力林,2014-08-14,3.27
184,力林,2014-08-15,8.96
184,力林,2014-08-16,22.77
184,力林,2014-08-17,7.55
184,力林,2014-08-18,7.79
184,力林,2014-08-19,5.04
184,力林,2014-08-20,3.26
184,力林,2014-08-21,16.28
184,力林,2014-08-22,22.13
184,力林,2014-08-23,17
184,力林,2014-08-24,5.13
184,力林,2014-08-25,13.86
184,力林,2014-08-26,18.1
184,力林,2014-08-27,11.59
184,力林,2014-08-28,2.46
184,力林,2014-08-29,2.51
184,力林,2014-08-30,13.21
184,力林,2014-08-31,18.33
184,力林,2014-09-01,22.14
184,力林,2014-09-02,7.1
184,力林,2014-09-03,8.06
184,力林,2014-09-04,22.16
184,力林,2014-09-05,21.51
184,力林,2014-09-06,14.39
184,力林,2014-09-07,22.78
184,力林,2014-09-08,21.35
184,力林,2014-09-09,19.25
184,力林,2014-09-10,17.51
184,力林,2014-09-11,18.16
184,力林,2014-09-12,7.3
184,力林,2014-09-13,18.89
184,力林,2014-09-14,15.78
184,力林,2014-09-15,17.29
184,力林,2014-09-16,11.03
184,力林,2014-09-17,9.85
184,力林,2014-09-18,2.73
184,力林,2014-09-19,3.17
184,力林,2014-09-20,15.19
184,力林,2014-09-21,18.98
184,力林,2014-09-22,12.54
184,力林,2014-09-23,3.73
184,力林,2014-09-24,3.31
184,力林,2014-09-25,18.08
184,力林,2014-09-26,18.34
184,力林,2014-09-27,20.32
184,力林,2014-09-28,19.33
184,力林,2014-09-29,14.9
184,力林,2014-09-30,4.19
184,力林,2014-10-01,16.68
184,力林,2014-10-02,16.11
184,力林,2014-10-03,12.49
184,力林,2014-10-04,14.61
184,力林,2014-10-05,17.7
184,力林,2014-10-06,15.63
184,力林,2014-10-07,16.84
184,力林,2014-10-08,16.56
184,力林,2014-10-09,14.91
184,力林,2014-10-10,14.16
184,力林,2014-10-11,5.6
184,力林,2014-10-12,1.78
184,力林,2014-10-13,3.4
184,力林,2014-10-14,14.9
184,力林,2014-10-15,17.9
184,力林,2014-10-16,14.44
184,力林,2014-10-17,18.49
184,力林,2014-10-18,18.2
184,力林,2014-10-19,16.67
184,力林,2014-10-20,12.83
184,力林,2014-10-21,6.93
184,力林,2014-10-22,2.98
184,力林,2014-10-23,15.23
184,力林,2014-10-24,16.67
184,力林,2014-10-25,15.93
184,力林,2014-10-26,13.53
184,力林,2014-10-27,16.74
184,力林,2014-10-28,15.9
184,力林,2014-10-29,6.12
184,力林,2014-10-30,4.69
184,力林,2014-10-31,1.69
184,力林,2014-11-01,2.4
184,力林,2014-11-02,5.14
184,力林,2014-11-03,7.94
184,力林,2014-11-04,14.68
184,力林,2014-11-05,14.83
184,力林,2014-11-06,12.32
184,力林,2014-11-07,13.82
184,力林,2014-11-08,1.51
184,力林,2014-11-09,6.93
184,力林,2014-11-10,13.68
184,力林,2014-11-11,9.66
184,力林,2014-11-12,7.31
184,力林,2014-11-13,6.71
184,力林,2014-11-14,6.04
184,力林,2014-11-15,10.55
184,力林,2014-11-16,4.19
184,力林,2014-11-17,4.32
184,力林,2014-11-18,9.55
184,力林,2014-11-19,12.95
184,力林,2014-11-20,12.52
184,力林,2014-11-21,11.14
184,力林,2014-11-22,12.1
184,力林,2014-11-23,6.61
184,力林,2014-11-24,4.64
184,力林,2014-11-25,2.31
184,力林,2014-11-26,4.83
184,力林,2014-11-27,9.59
184,力林,2014-11-28,2.56
184,力林,2014-11-29,7.86
184,力林,2014-11-30,3.82
184,力林,2014-12-01,3.23
184,力林,2014-12-02,3.77
184,力林,2014-12-03,4.62
184,力林,2014-12-04,3.86
184,力林,2014-12-05,4.29
184,力林,2014-12-06,3.98
184,力林,2014-12-07,5.83
184,力林,2014-12-08,4.51
184,力林,2014-12-09,11.46
184,力林,2014-12-10,4.64
184,力林,2014-12-11,3.12
184,力林,2014-12-12,4
184,力林,2014-12-13,5.7
184,力林,2014-12-14,4.53
184,力林,2014-12-15,6.61
184,力林,2014-12-16,4.91
184,力林,2014-12-17,4.64
184,力林,2014-12-18,8.05
184,力林,2014-12-19,4.44
184,力林,2014-12-20,3.49
184,力林,2014-12-21,2.25
184,力林,2014-12-22,2.17
184,力林,2014-12-23,8.29
184,力林,2014-12-24,4.84
184,力林,2014-12-25,6.13
184,力林,2014-12-26,7.13
184,力林,2014-12-27,8.55
184,力林,2014-12-28,3.19
184,力林,2014-12-29,8.07
184,力林,2014-12-30,10.45
184,力林,2014-12-31,2.48
184,力林,2015-01-01,3.35
184,力林,2015-01-02,4.98
184,力林,2015-01-03,8.18
184,力林,2015-01-04,10.06
184,力林,2015-01-05,7.48
184,力林,2015-01-06,9.03
184,力林,2015-01-07,3.07
184,力林,2015-01-08,3.92
184,力林,2015-01-09,6.55
184,力林,2015-01-10,9.18
184,力林,2015-01-11,8.26
184,力林,2015-01-12,11.78
184,力林,2015-01-13,7.27
184,力林,2015-01-14,.54
184,力林,2015-01-15,8.72
184,力林,2015-01-16,1.16
184,力林,2015-01-17,9.85
184,力林,2015-01-18,6.01
184,力林,2015-01-19,9.05
184,力林,2015-01-20,11.2
184,力林,2015-01-21,1.84
184,力林,2015-01-22,4.9
184,力林,2015-01-23,11.44
184,力林,2015-01-24,10.2
184,力林,2015-01-25,6.53
184,力林,2015-01-26,.85
184,力林,2015-01-27,8.22
184,力林,2015-01-28,10.9
184,力林,2015-01-29,1.39
184,力林,2015-01-30,2.46
184,力林,2015-01-31,4.69
184,力林,2015-02-01,14.62
184,力林,2015-02-02,12.87
184,力林,2015-02-03,8.71
184,力林,2015-02-04,2.01
184,力林,2015-02-05,3.34
184,力林,2015-02-06,5.21
184,力林,2015-02-07,4.94
184,力林,2015-02-08,4.87
184,力林,2015-02-09,8.45
184,力林,2015-02-10,5.3
184,力林,2015-02-11,14.35
184,力林,2015-02-12,12.46
184,力林,2015-02-13,11.9
184,力林,2015-02-14,15.15
184,力林,2015-02-15,1.97
184,力林,2015-02-16,3.71
184,力林,2015-02-17,11.72
184,力林,2015-02-18,1.51
184,力林,2015-02-19,13.32
184,力林,2015-02-20,14.88
184,力林,2015-02-21,2.55
184,力林,2015-02-22,4.83
184,力林,2015-02-23,14.4
184,力林,2015-02-24,15.43
184,力林,2015-02-25,5.35
184,力林,2015-02-26,7.81
184,力林,2015-02-27,5.93
184,力林,2015-02-28,1.83
184,力林,2015-03-01,9.14
184,力林,2015-03-02,19.24
184,力林,2015-03-03,2.79
184,力林,2015-03-04,8.76
184,力林,2015-03-05,16.78
184,力林,2015-03-06,2.18
184,力林,2015-03-07,6.72
184,力林,2015-03-08,17.04
184,力林,2015-03-09,15.34
184,力林,2015-03-10,11.67
184,力林,2015-03-11,16.48
184,力林,2015-03-12,19.92
184,力林,2015-03-13,17.17
184,力林,2015-03-14,15.61
184,力林,2015-03-15,19.09
184,力林,2015-03-16,16.95
184,力林,2015-03-17,18.19
184,力林,2015-03-18,2.42
184,力林,2015-03-19,7.63
184,力林,2015-03-20,16
184,力林,2015-03-21,19.84
184,力林,2015-03-22,21.04
184,力林,2015-03-23,19.61
184,力林,2015-03-24,23.21
184,力林,2015-03-25,22.9
184,力林,2015-03-26,21.13
184,力林,2015-03-27,9.25
184,力林,2015-03-28,15.36
184,力林,2015-03-29,14.93
184,力林,2015-03-30,14.83
184,力林,2015-03-31,7.12
184,力林,2015-04-01,13.7
184,力林,2015-04-02,14.89
184,力林,2015-04-03,8.38
184,力林,2015-04-04,7.43
184,力林,2015-04-05,5.22
184,力林,2015-04-06,1.45
184,力林,2015-04-07,9.09
184,力林,2015-04-08,14.35
184,力林,2015-04-09,23.82
184,力林,2015-04-10,23.57
184,力林,2015-04-11,24.21
184,力林,2015-04-12,9.25
184,力林,2015-04-13,4.83
184,力林,2015-04-14,11.08
184,力林,2015-04-15,21.38
184,力林,2015-04-16,17.87
184,力林,2015-04-17,25.72
184,力林,2015-04-18,9.6
184,力林,2015-04-19,10.44
184,力林,2015-04-20,3.61
184,力林,2015-04-21,25.98
184,力林,2015-04-22,25.86
184,力林,2015-04-23,22
184,力林,2015-04-24,18.62
184,力林,2015-04-25,27.39
184,力林,2015-04-26,26.78
184,力林,2015-04-27,25.94
184,力林,2015-04-28,13.5
184,力林,2015-04-29,7.12
184,力林,2015-04-30,4.48
184,力林,2015-05-01,19.29
184,力林,2015-05-02,20.57
184,力林,2015-05-03,14.23
184,力林,2015-05-04,26.11
184,力林,2015-05-05,29.6
184,力林,2015-05-06,6.79
184,力林,2015-05-07,27.87
184,力林,2015-05-08,21.5
184,力林,2015-05-09,25.84
184,力林,2015-05-10,25.46
184,力林,2015-05-11,4.05
184,力林,2015-05-12,27.55
184,力林,2015-05-13,28.77
184,力林,2015-05-14,15.58
184,力林,2015-05-15,17.81
184,力林,2015-05-16,24.6
184,力林,2015-05-17,22.39
184,力林,2015-05-18,3.05
184,力林,2015-05-19,22.06
184,力林,2015-05-20,27.9
184,力林,2015-05-21,28.07
184,力林,2015-05-22,24.9
