瘤痢,瘤痢疙,老矫,乞闭 捞浇痢柯档(∑C)
184,力林,2023-04-25,11.1
184,力林,2023-04-26,7.2
184,力林,2023-04-27,7.3
184,力林,2023-04-28,11.3
184,力林,2023-04-29,13.9
184,力林,2023-04-30,5.4
184,力林,2023-05-01,6.3
184,力林,2023-05-02,8.8
184,力林,2023-05-03,11.8
184,力林,2023-05-04,17.4
184,力林,2023-05-05,20.5
184,力林,2023-05-06,16.2
184,力林,2023-05-07,12.8
184,力林,2023-05-08,7.8
184,力林,2023-05-09,7.6
184,力林,2023-05-10,8.3
184,力林,2023-05-11,13.1
184,力林,2023-05-12,14.1
184,力林,2023-05-13,14.4
184,力林,2023-05-14,13.8
184,力林,2023-05-15,13.9
184,力林,2023-05-16,15.2
184,力林,2023-05-17,15.9
184,力林,2023-05-18,17.2
184,力林,2023-05-19,16.5
184,力林,2023-05-20,16
184,力林,2023-05-21,15.1
184,力林,2023-05-22,13.4
184,力林,2023-05-23,11.5
184,力林,2023-05-24,13.9
184,力林,2023-05-25,12.4
184,力林,2023-05-26,17.4
184,力林,2023-05-27,17.8
184,力林,2023-05-28,20.3
184,力林,2023-05-29,21.7
184,力林,2023-05-30,20.4
184,力林,2023-05-31,18
184,力林,2023-06-01,19.7
184,力林,2023-06-02,19
184,力林,2023-06-03,15.5
184,力林,2023-06-04,11.2
184,力林,2023-06-05,13.3
184,力林,2023-06-06,17
184,力林,2023-06-07,16.7
184,力林,2023-06-08,18.4
184,力林,2023-06-09,18.7
184,力林,2023-06-10,19.8
184,力林,2023-06-11,20.1
184,力林,2023-06-12,20.4
184,力林,2023-06-13,18.8
184,力林,2023-06-14,16.8
184,力林,2023-06-15,16.1
184,力林,2023-06-16,14.1
184,力林,2023-06-17,17
184,力林,2023-06-18,16.3
184,力林,2023-06-19,17.3
184,力林,2023-06-20,20.4
184,力林,2023-06-21,19.9
184,力林,2023-06-22,17.5
184,力林,2023-06-23,18
184,力林,2023-06-24,18.3
184,力林,2023-06-25,20.7
184,力林,2023-06-26,22.1
184,力林,2023-06-27,23.3
184,力林,2023-06-28,23.1
184,力林,2023-06-29,23
184,力林,2023-06-30,23.3
184,力林,2023-07-01,22
184,力林,2023-07-02,22.8
184,力林,2023-07-03,23.3
184,力林,2023-07-04,23.6
184,力林,2023-07-05,21.6
184,力林,2023-07-06,20.1
184,力林,2023-07-07,22.8
184,力林,2023-07-08,23.8
184,力林,2023-07-09,23.7
184,力林,2023-07-10,23.6
184,力林,2023-07-11,22.7
184,力林,2023-07-12,23.3
184,力林,2023-07-13,22.6
184,力林,2023-07-14,22
184,力林,2023-07-15,23.3
184,力林,2023-07-16,24.6
184,力林,2023-07-17,24.4
184,力林,2023-07-18,24.3
184,力林,2023-07-19,22.6
184,力林,2023-07-20,23
184,力林,2023-07-21,21.6
184,力林,2023-07-22,22.6
184,力林,2023-07-23,22.7
184,力林,2023-07-24,23.7
184,力林,2023-07-25,22.9
184,力林,2023-07-26,23.9
184,力林,2023-07-27,23.4
184,力林,2023-07-28,23.8
184,力林,2023-07-29,22
184,力林,2023-07-30,22.3
184,力林,2023-07-31,22.9
184,力林,2023-08-01,25
184,力林,2023-08-02,24.2
184,力林,2023-08-03,24.1
184,力林,2023-08-04,24.3
184,力林,2023-08-05,24.3
184,力林,2023-08-06,24.8
184,力林,2023-08-07,24.8
184,力林,2023-08-08,24.7
184,力林,2023-08-09,24.1
184,力林,2023-08-10,23.1
184,力林,2023-08-11,22
184,力林,2023-08-12,22.7
184,力林,2023-08-13,21.9
184,力林,2023-08-14,22.7
184,力林,2023-08-15,23.2
184,力林,2023-08-16,22.9
184,力林,2023-08-17,22.5
184,力林,2023-08-18,23.9
184,力林,2023-08-19,24.3
184,力林,2023-08-20,24.2
184,力林,2023-08-21,23.7
184,力林,2023-08-22,23.7
184,力林,2023-08-23,24
184,力林,2023-08-24,23.4
184,力林,2023-08-25,20.6
184,力林,2023-08-26,20.4
184,力林,2023-08-27,22.8
184,力林,2023-08-28,23.2
184,力林,2023-08-29,24.6
184,力林,2023-08-30,21.5
184,力林,2023-08-31,19
184,力林,2023-09-01,21.8
184,力林,2023-09-02,21.8
184,力林,2023-09-03,21.6
184,力林,2023-09-04,22.6
184,力林,2023-09-05,20
184,力林,2023-09-06,19.7
184,力林,2023-09-07,18.1
184,力林,2023-09-08,16.6
184,力林,2023-09-09,16.5
184,力林,2023-09-10,17.3
184,力林,2023-09-11,18
184,力林,2023-09-12,19.7
184,力林,2023-09-13,20.7
184,力林,2023-09-14,20.4
184,力林,2023-09-15,21.8
184,力林,2023-09-16,22.3
184,力林,2023-09-17,21.2
184,力林,2023-09-18,20.8
184,力林,2023-09-19,20.2
184,力林,2023-09-20,20.9
184,力林,2023-09-21,18.7
184,力林,2023-09-22,18.8
184,力林,2023-09-23,17.5
184,力林,2023-09-24,18.3
184,力林,2023-09-25,20.5
184,力林,2023-09-26,20.5
184,力林,2023-09-27,19.9
184,力林,2023-09-28,19.4
184,力林,2023-09-29,16.7
184,力林,2023-09-30,15.2
184,力林,2023-10-01,12.8
184,力林,2023-10-02,8.4
184,力林,2023-10-03,16.7
184,力林,2023-10-04,15.2
184,力林,2023-10-05,8.9
184,力林,2023-10-06,8.4
184,力林,2023-10-07,13.4
184,力林,2023-10-08,15.1
184,力林,2023-10-09,14.7
184,力林,2023-10-10,12.3
184,力林,2023-10-11,12.9
184,力林,2023-10-12,10.7
184,力林,2023-10-13,12.8
184,力林,2023-10-14,12
184,力林,2023-10-15,11.3
184,力林,2023-10-16,10.2
184,力林,2023-10-17,9.8
184,力林,2023-10-18,12.5
184,力林,2023-10-19,13.7
184,力林,2023-10-20,7.4
184,力林,2023-10-21,6.6
184,力林,2023-10-22,8.6
184,力林,2023-10-23,9
184,力林,2023-10-24,9.6
184,力林,2023-10-25,12.1
184,力林,2023-10-26,13.7
184,力林,2023-10-27,9.5
184,力林,2023-10-28,9.7
184,力林,2023-10-29,10.4
184,力林,2023-10-30,11
184,力林,2023-10-31,8.3
184,力林,2023-11-01,6.8
184,力林,2023-11-02,10.7
184,力林,2023-11-03,12.8
184,力林,2023-11-04,17.4
184,力林,2023-11-05,16.8
184,力林,2023-11-06,11.5
184,力林,2023-11-07,6
184,力林,2023-11-08,8.9
184,力林,2023-11-09,11.9
184,力林,2023-11-10,5
184,力林,2023-11-11,1.3
184,力林,2023-11-12,2.5
184,力林,2023-11-13,1.7
184,力林,2023-11-14,2.8
184,力林,2023-11-15,3.6
184,力林,2023-11-16,5.6
184,力林,2023-11-17,3.3
184,力林,2023-11-18,1.3
184,力林,2023-11-19,5
184,力林,2023-11-20,3.6
184,力林,2023-11-21,6.5
184,力林,2023-11-22,8.4
184,力林,2023-11-23,11.5
184,力林,2023-11-24,-.4
184,力林,2023-11-25,-2.6
184,力林,2023-11-26,1.3
184,力林,2023-11-27,6.8
184,力林,2023-11-28,2
184,力林,2023-11-29,3.3
184,力林,2023-11-30,.2
184,力林,2023-12-01,.2
184,力林,2023-12-02,-.1
184,力林,2023-12-03,1.3
184,力林,2023-12-04,2.9
184,力林,2023-12-05,3.6
184,力林,2023-12-06,6.1
184,力林,2023-12-07,.3
184,力林,2023-12-08,4.4
184,力林,2023-12-09,9
184,力林,2023-12-10,11.6
184,力林,2023-12-11,13.6
184,力林,2023-12-12,7.6
184,力林,2023-12-13,8.9
184,力林,2023-12-14,13.5
184,力林,2023-12-15,12.1
184,力林,2023-12-16,.5
184,力林,2023-12-17,-3
184,力林,2023-12-18,-2
184,力林,2023-12-19,.8
184,力林,2023-12-20,-2.8
184,力林,2023-12-21,-2.3
184,力林,2023-12-22,-3
184,力林,2023-12-23,-1.9
184,力林,2023-12-24,.2
184,力林,2023-12-25,-1.9
184,力林,2023-12-26,1.4
184,力林,2023-12-27,3.4
184,力林,2023-12-28,3
184,力林,2023-12-29,1.8
184,力林,2023-12-30,5.3
184,力林,2023-12-31,2.4
184,力林,2024-01-01,2.9
184,力林,2024-01-02,4.2
184,力林,2024-01-03,.5
184,力林,2024-01-04,-.5
184,力林,2024-01-05,2.2
184,力林,2024-01-06,.4
184,力林,2024-01-07,-2.7
184,力林,2024-01-08,-2.5
184,力林,2024-01-09,2.9
184,力林,2024-01-10,.6
184,力林,2024-01-11,-.6
184,力林,2024-01-12,2.6
184,力林,2024-01-13,-2.6
184,力林,2024-01-14,1.9
184,力林,2024-01-15,-2.8
184,力林,2024-01-16,-1.2
184,力林,2024-01-17,3
184,力林,2024-01-18,9.5
184,力林,2024-01-19,9
184,力林,2024-01-20,9.2
184,力林,2024-01-21,5.3
184,力林,2024-01-22,-3.3
184,力林,2024-01-23,-4.1
184,力林,2024-01-24,-2.6
184,力林,2024-01-25,-2.8
184,力林,2024-01-26,-1.9
184,力林,2024-01-27,-1.6
184,力林,2024-01-28,-2.2
184,力林,2024-01-29,-1
184,力林,2024-01-30,3.5
184,力林,2024-01-31,9.5
184,力林,2024-02-01,8
184,力林,2024-02-02,6.9
184,力林,2024-02-03,7.3
184,力林,2024-02-04,8.1
184,力林,2024-02-05,6.4
184,力林,2024-02-06,1.6
184,力林,2024-02-07,-1.9
184,力林,2024-02-08,-2.2
184,力林,2024-02-09,-2.3
184,力林,2024-02-10,.2
184,力林,2024-02-11,-1.6
184,力林,2024-02-12,-.3
184,力林,2024-02-13,3.2
184,力林,2024-02-14,10.3
184,力林,2024-02-15,4.6
184,力林,2024-02-16,.3
184,力林,2024-02-17,2.5
184,力林,2024-02-18,8.9
184,力林,2024-02-19,12.1
184,力林,2024-02-20,8.7
184,力林,2024-02-21,10.6
184,力林,2024-02-22,7.3
184,力林,2024-02-23,5.4
184,力林,2024-02-24,5
184,力林,2024-02-25,4
184,力林,2024-02-26,.5
184,力林,2024-02-27,1.6
184,力林,2024-02-28,2.4
184,力林,2024-02-29,5
184,力林,2024-03-01,-3.9
184,力林,2024-03-02,-4.5
184,力林,2024-03-03,-1.1
184,力林,2024-03-04,3
184,力林,2024-03-05,8.8
184,力林,2024-03-06,4.5
184,力林,2024-03-07,-.5
184,力林,2024-03-08,-2.9
184,力林,2024-03-09,-3.1
184,力林,2024-03-10,-4.2
184,力林,2024-03-11,3.1
184,力林,2024-03-12,4.1
184,力林,2024-03-13,-.7
184,力林,2024-03-14,1.8
184,力林,2024-03-15,1.5
184,力林,2024-03-16,5
184,力林,2024-03-17,6.6
184,力林,2024-03-18,3.2
184,力林,2024-03-19,2.6
184,力林,2024-03-20,-2.7
184,力林,2024-03-21,-2.6
184,力林,2024-03-22,3.2
184,力林,2024-03-23,12.5
184,力林,2024-03-24,12.1
184,力林,2024-03-25,11.6
184,力林,2024-03-26,6.7
184,力林,2024-03-27,6.4
184,力林,2024-03-28,9.9
184,力林,2024-03-29,7.5
184,力林,2024-03-30,9.9
184,力林,2024-03-31,9.4
184,力林,2024-04-01,6.6
184,力林,2024-04-02,11.1
184,力林,2024-04-03,14.4
184,力林,2024-04-04,12
184,力林,2024-04-05,8.9
184,力林,2024-04-06,8.1
184,力林,2024-04-07,9.2
184,力林,2024-04-08,8.9
184,力林,2024-04-09,7.9
184,力林,2024-04-10,7.3
184,力林,2024-04-11,9.8
184,力林,2024-04-12,11.8
184,力林,2024-04-13,13.4
184,力林,2024-04-14,12.7
184,力林,2024-04-15,13.5
184,力林,2024-04-16,10.2
184,力林,2024-04-17,7.9
184,力林,2024-04-18,7.6
184,力林,2024-04-19,7.5
184,力林,2024-04-20,12.3
184,力林,2024-04-21,13
184,力林,2024-04-22,13.4
184,力林,2024-04-23,12.5
184,力林,2024-04-24,10.7
184,力林,2024-04-25,9.7
184,力林,2024-04-26,12.1
184,力林,2024-04-27,11.6
184,力林,2024-04-28,11.1
184,力林,2024-04-29,16.1
184,力林,2024-04-30,12.9
184,力林,2024-05-01,10
184,力林,2024-05-02,8
184,力林,2024-05-03,9.4
184,力林,2024-05-04,13.8
184,力林,2024-05-05,17.7
184,力林,2024-05-06,13.1
184,力林,2024-05-07,11.9
184,力林,2024-05-08,10.1
184,力林,2024-05-09,8.9
184,力林,2024-05-10,9.7
184,力林,2024-05-11,12.5
184,力林,2024-05-12,9.7
184,力林,2024-05-13,9.2
184,力林,2024-05-14,7.6
184,力林,2024-05-15,5.7
184,力林,2024-05-16,3.2
184,力林,2024-05-17,5.1
184,力林,2024-05-18,12
184,力林,2024-05-19,10.3
184,力林,2024-05-20,9.6
184,力林,2024-05-21,12.7
184,力林,2024-05-22,15.2
184,力林,2024-05-23,15.2
184,力林,2024-05-24,13.9
184,力林,2024-05-25,14.2
184,力林,2024-05-26,17
184,力林,2024-05-27,12.4
184,力林,2024-05-28,12.7
184,力林,2024-05-29,13.6
184,力林,2024-05-30,14.1
184,力林,2024-05-31,14.1
184,力林,2024-06-01,13.8
184,力林,2024-06-02,12.7
184,力林,2024-06-03,12
184,力林,2024-06-04,12.9
184,力林,2024-06-05,13.7
184,力林,2024-06-06,15.7
184,力林,2024-06-07,15.5
184,力林,2024-06-08,18.7
184,力林,2024-06-09,17.9
184,力林,2024-06-10,14.5
184,力林,2024-06-11,17
184,力林,2024-06-12,18.1
184,力林,2024-06-13,17.8
184,力林,2024-06-14,19.1
184,力林,2024-06-15,20.1
184,力林,2024-06-16,19.2
184,力林,2024-06-17,17.3
184,力林,2024-06-18,12.5
184,力林,2024-06-19,15.8
184,力林,2024-06-20,19.4
184,力林,2024-06-21,20.7
184,力林,2024-06-22,22.6
184,力林,2024-06-23,20.8
184,力林,2024-06-24,20.8
184,力林,2024-06-25,17.7
184,力林,2024-06-26,16.4
184,力林,2024-06-27,19.9
184,力林,2024-06-28,20.7
184,力林,2024-06-29,21.9
184,力林,2024-06-30,23.2
184,力林,2024-07-01,22.6
184,力林,2024-07-02,22.3
184,力林,2024-07-03,24
184,力林,2024-07-04,23.4
184,力林,2024-07-05,24.2
184,力林,2024-07-06,21.2
184,力林,2024-07-07,23.2
184,力林,2024-07-08,22.7
184,力林,2024-07-09,21.6
184,力林,2024-07-10,23.2
184,力林,2024-07-11,21.2
184,力林,2024-07-12,20.6
184,力林,2024-07-13,21.8
184,力林,2024-07-14,22.5
184,力林,2024-07-15,23.3
184,力林,2024-07-16,22.9
184,力林,2024-07-17,22.6
184,力林,2024-07-18,23.8
184,力林,2024-07-19,24
184,力林,2024-07-20,23.4
184,力林,2024-07-21,24.3
184,力林,2024-07-22,24.7
184,力林,2024-07-23,24.2
184,力林,2024-07-24,25
184,力林,2024-07-25,23.8
184,力林,2024-07-26,24.6
184,力林,2024-07-27,23.9
184,力林,2024-07-28,23.8
184,力林,2024-07-29,24.1
184,力林,2024-07-30,23.8
184,力林,2024-07-31,24.2
184,力林,2024-08-01,25
184,力林,2024-08-02,25.5
184,力林,2024-08-03,25.7
184,力林,2024-08-04,26
184,力林,2024-08-05,25.7
184,力林,2024-08-06,24.6
184,力林,2024-08-07,24.2
184,力林,2024-08-08,24.8
184,力林,2024-08-09,24.3
184,力林,2024-08-10,23.8
184,力林,2024-08-11,22.6
184,力林,2024-08-12,22.3
184,力林,2024-08-13,23.5
184,力林,2024-08-14,23.9
184,力林,2024-08-15,23.7
184,力林,2024-08-16,23.8
184,力林,2024-08-17,24.1
184,力林,2024-08-18,24.2
184,力林,2024-08-19,23.7
184,力林,2024-08-20,24.8
184,力林,2024-08-21,24.8
184,力林,2024-08-22,24.5
184,力林,2024-08-23,24.5
184,力林,2024-08-24,23
184,力林,2024-08-25,23.2
184,力林,2024-08-26,23
184,力林,2024-08-27,24.6
184,力林,2024-08-28,24.1
184,力林,2024-08-29,23.9
184,力林,2024-08-30,23.3
184,力林,2024-08-31,20.4
184,力林,2024-09-01,20.5
184,力林,2024-09-02,19.8
184,力林,2024-09-03,20.2
184,力林,2024-09-04,22
184,力林,2024-09-05,21.3
184,力林,2024-09-06,20.9
184,力林,2024-09-07,21.5
184,力林,2024-09-08,23.3
184,力林,2024-09-09,23.6
184,力林,2024-09-10,24.8
184,力林,2024-09-11,24.5
184,力林,2024-09-12,23.8
184,力林,2024-09-13,22.8
184,力林,2024-09-14,23.5
184,力林,2024-09-15,25.8
184,力林,2024-09-16,25.3
184,力林,2024-09-17,24.9
184,力林,2024-09-18,24.4
184,力林,2024-09-19,24.3
184,力林,2024-09-20,24.1
184,力林,2024-09-21,24
184,力林,2024-09-22,21.2
184,力林,2024-09-23,17.9
184,力林,2024-09-24,18.3
184,力林,2024-09-25,20.9
184,力林,2024-09-26,20.4
184,力林,2024-09-27,18.2
184,力林,2024-09-28,20.1
184,力林,2024-09-29,18
184,力林,2024-09-30,19.8
184,力林,2024-10-01,17.5
184,力林,2024-10-02,9.6
184,力林,2024-10-03,11.6
184,力林,2024-10-04,13.3
184,力林,2024-10-05,15.1
184,力林,2024-10-06,15.3
184,力林,2024-10-07,12.7
184,力林,2024-10-08,14.1
184,力林,2024-10-09,15.2
184,力林,2024-10-10,14.6
184,力林,2024-10-11,14.8
184,力林,2024-10-12,14.3
184,力林,2024-10-13,13.6
184,力林,2024-10-14,17.4
184,力林,2024-10-15,19.1
184,力林,2024-10-16,17.9
184,力林,2024-10-17,18.9
184,力林,2024-10-18,20.8
184,力林,2024-10-19,17.4
184,力林,2024-10-20,12.1
184,力林,2024-10-21,17.3
184,力林,2024-10-22,18.9
184,力林,2024-10-23,9.4
184,力林,2024-10-24,7.9
184,力林,2024-10-25,15.5
184,力林,2024-10-26,17.1
184,力林,2024-10-27,15.8
184,力林,2024-10-28,11.7
184,力林,2024-10-29,14.5
184,力林,2024-10-30,12.3
184,力林,2024-10-31,13.9
184,力林,2024-11-01,16.3
184,力林,2024-11-02,16
184,力林,2024-11-03,13.4
184,力林,2024-11-04,11.1
184,力林,2024-11-05,5.8
184,力林,2024-11-06,4.6
184,力林,2024-11-07,6.5
184,力林,2024-11-08,10
184,力林,2024-11-09,12.1
184,力林,2024-11-10,15.3
184,力林,2024-11-11,11.3
184,力林,2024-11-12,11.7
184,力林,2024-11-13,11.2
184,力林,2024-11-14,12.2
184,力林,2024-11-15,15.6
184,力林,2024-11-16,16.7
184,力林,2024-11-17,6.5
184,力林,2024-11-18,-1.8
184,力林,2024-11-19,7.1
184,力林,2024-11-20,5.7
184,力林,2024-11-21,5.1
184,力林,2024-11-22,3.8
184,力林,2024-11-23,2.6
184,力林,2024-11-24,7.6
184,力林,2024-11-25,9.1
184,力林,2024-11-26,4.7
184,力林,2024-11-27,1.3
184,力林,2024-11-28,2.2
184,力林,2024-11-29,.1
184,力林,2024-11-30,1.9
184,力林,2024-12-01,3.2
184,力林,2024-12-02,6.8
184,力林,2024-12-03,.7
184,力林,2024-12-04,-.6
184,力林,2024-12-05,.5
184,力林,2024-12-06,.2
184,力林,2024-12-07,.2
184,力林,2024-12-08,-1
184,力林,2024-12-09,.5
184,力林,2024-12-10,.3
184,力林,2024-12-11,1.2
184,力林,2024-12-12,0
184,力林,2024-12-13,-.2
184,力林,2024-12-14,-1.3
184,力林,2024-12-15,-1.9
184,力林,2024-12-16,.8
184,力林,2024-12-17,-.6
184,力林,2024-12-18,-1.1
184,力林,2024-12-19,-4.2
184,力林,2024-12-20,1.4
184,力林,2024-12-21,-.7
184,力林,2024-12-22,-2.7
184,力林,2024-12-23,-1.8
184,力林,2024-12-24,-.7
184,力林,2024-12-25,2.2
184,力林,2024-12-26,-.4
184,力林,2024-12-27,-2.4
184,力林,2024-12-28,-3.3
184,力林,2024-12-29,-2.8
184,力林,2024-12-30,.6
184,力林,2024-12-31,-1.4
184,力林,2025-01-01,-1.2
184,力林,2025-01-02,-.6
184,力林,2025-01-03,-4.1
184,力林,2025-01-04,-3.5
184,力林,2025-01-05,2.3
184,力林,2025-01-06,-1.2
184,力林,2025-01-07,-4.2
184,力林,2025-01-08,-1.6
184,力林,2025-01-09,-4.1
184,力林,2025-01-10,-3.5
184,力林,2025-01-11,-3.6
184,力林,2025-01-12,-5.2
184,力林,2025-01-13,-2.3
184,力林,2025-01-14,1.5
184,力林,2025-01-15,-3.9
184,力林,2025-01-16,-3.8
184,力林,2025-01-17,-2.7
184,力林,2025-01-18,-2
184,力林,2025-01-19,.5
184,力林,2025-01-20,-.3
184,力林,2025-01-21,-.8
184,力林,2025-01-22,-1.5
184,力林,2025-01-23,.8
184,力林,2025-01-24,2.7
184,力林,2025-01-25,1.1
184,力林,2025-01-26,.8
184,力林,2025-01-27,-1.9
184,力林,2025-01-28,-4.3
184,力林,2025-01-29,-5.8
184,力林,2025-01-30,-4.7
184,力林,2025-01-31,.3
184,力林,2025-02-01,5.3
184,力林,2025-02-02,1.3
184,力林,2025-02-03,-3
184,力林,2025-02-04,-4.8
184,力林,2025-02-05,-5.3
184,力林,2025-02-06,-5.8
184,力林,2025-02-07,-4.1
184,力林,2025-02-08,-5.3
184,力林,2025-02-09,-3.3
184,力林,2025-02-10,-5.2
184,力林,2025-02-11,-3.2
184,力林,2025-02-12,4.7
184,力林,2025-02-13,-5.7
184,力林,2025-02-14,-1.7
184,力林,2025-02-15,2.4
184,力林,2025-02-16,3.8
184,力林,2025-02-17,-4.1
184,力林,2025-02-18,-5.4
184,力林,2025-02-19,-5.2
184,力林,2025-02-20,-6.1
184,力林,2025-02-21,-5.8
184,力林,2025-02-22,-5
184,力林,2025-02-23,-5.7
184,力林,2025-02-24,-5.3
184,力林,2025-02-25,-2.4
184,力林,2025-02-26,.1
184,力林,2025-02-27,-.1
184,力林,2025-02-28,8.1
184,力林,2025-03-01,11
184,力林,2025-03-02,14.2
184,力林,2025-03-03,6.1
184,力林,2025-03-04,4.9
184,力林,2025-03-05,3.5
184,力林,2025-03-06,.6
184,力林,2025-03-07,0
184,力林,2025-03-08,2.5
184,力林,2025-03-09,1.2
184,力林,2025-03-10,3.2
184,力林,2025-03-11,6.5
184,力林,2025-03-12,6.9
184,力林,2025-03-13,1.5
184,力林,2025-03-14,4.6
184,力林,2025-03-15,5.3
184,力林,2025-03-16,-.8
184,力林,2025-03-17,-5.9
184,力林,2025-03-18,-4.5
184,力林,2025-03-19,-3.7
184,力林,2025-03-20,-.3
184,力林,2025-03-21,-1.6
184,力林,2025-03-22,-2.1
184,力林,2025-03-23,1.5
184,力林,2025-03-24,4.6
184,力林,2025-03-25,4.6
184,力林,2025-03-26,9.3
184,力林,2025-03-27,11.3
184,力林,2025-03-28,-.3
184,力林,2025-03-29,-3.3
184,力林,2025-03-30,-7.3
184,力林,2025-03-31,.1
184,力林,2025-04-01,.6
184,力林,2025-04-02,0
184,力林,2025-04-03,2.4
184,力林,2025-04-04,4.4
184,力林,2025-04-05,6.5
184,力林,2025-04-06,0
184,力林,2025-04-07,2.5
184,力林,2025-04-08,-1.4
184,力林,2025-04-09,5.2
184,力林,2025-04-10,8.8
184,力林,2025-04-11,7.9
184,力林,2025-04-12,9.5
184,力林,2025-04-13,-1.3
184,力林,2025-04-14,3.2
184,力林,2025-04-15,3.2
184,力林,2025-04-16,3.7
184,力林,2025-04-17,12.3
184,力林,2025-04-18,12.8
184,力林,2025-04-19,14.3
184,力林,2025-04-20,14.7
184,力林,2025-04-21,14.8
184,力林,2025-04-22,15.4
184,力林,2025-04-23,11.5
184,力林,2025-04-24,8.2
184,力林,2025-04-25,-.8
184,力林,2025-04-26,-2.4
184,力林,2025-04-27,6.2
184,力林,2025-04-28,9.1
184,力林,2025-04-29,4.8
184,力林,2025-04-30,7.9
184,力林,2025-05-01,10.6
184,力林,2025-05-02,3.4
184,力林,2025-05-03,8.7
184,力林,2025-05-04,4.8
184,力林,2025-05-05,3.2
184,力林,2025-05-06,10.4
184,力林,2025-05-07,7.9
184,力林,2025-05-08,7.5
184,力林,2025-05-09,15.1
184,力林,2025-05-10,10.2
184,力林,2025-05-11,10.2
184,力林,2025-05-12,7.5
184,力林,2025-05-13,10.3
184,力林,2025-05-14,10.9
184,力林,2025-05-15,16.6
184,力林,2025-05-16,17.9
184,力林,2025-05-17,15
184,力林,2025-05-18,10.6
184,力林,2025-05-19,10.8
184,力林,2025-05-20,16.9
184,力林,2025-05-21,17.7
184,力林,2025-05-22,17.4
184,力林,2025-05-23,14.7
184,力林,2025-05-24,12.6
